species,month,year,count,type
Ficus clamydocarpa fernandesiana,JAN,2018,5,Fruit
Ficus kamerounesis,JAN,2018,0,Fruit
Ficus mucoso,JAN,2018,1,Fruit
Sapium ellipticum,JAN,2018,3,Fruit
Croton stelluifer,JAN,2018,13,Fruit
Homalium henriquesii,JAN,2018,0,Fruit
Psydrax subcordata,JAN,2018,60,Fruit
Psydrax acutiflora,JAN,2018,0,Fruit
Antidesma vogelianum,JAN,2018,45,Fruit
Sabicea ingrata ingrata,JAN,2018,23,Fruit
Psidium guajava,JAN,2018,11,Fruit
D. santomea_Obo,JAN,2018,27,Drosophila
F1_Obo,JAN,2018,0,Drosophila
D. yakuba_Obo,JAN,2018,25,Drosophila
D. santomea_BS,JAN,2018,11,Drosophila
F1_BS,JAN,2018,0,Drosophila
D. yakuba_BS,JAN,2018,35,Drosophila
D. yakuba_MC,JAN,2018,45,Drosophila
Ficus clamydocarpa fernandesiana,FEB,2018,35,Fruit
Ficus kamerounesis,FEB,2018,12,Fruit
Ficus mucoso,FEB,2018,4,Fruit
Sapium ellipticum,FEB,2018,4,Fruit
Croton stelluifer,FEB,2018,10,Fruit
Homalium henriquesii,FEB,2018,4,Fruit
Psydrax subcordata,FEB,2018,56,Fruit
Psydrax acutiflora,FEB,2018,56,Fruit
Antidesma vogelianum,FEB,2018,102,Fruit
Sabicea ingrata ingrata,FEB,2018,65,Fruit
Psidium guajava,FEB,2018,14,Fruit
D. santomea_Obo,FEB,2018,111,Drosophila
F1_Obo,FEB,2018,7,Drosophila
D. yakuba_Obo,FEB,2018,24,Drosophila
D. santomea_BS,FEB,2018,42,Drosophila
F1_BS,FEB,2018,4,Drosophila
D. yakuba_BS,FEB,2018,22,Drosophila
D. yakuba_MC,FEB,2018,66,Drosophila
Ficus clamydocarpa fernandesiana,MAR,2018,33,Fruit
Ficus kamerounesis,MAR,2018,24,Fruit
Ficus mucoso,MAR,2018,13,Fruit
Sapium ellipticum,MAR,2018,16,Fruit
Croton stelluifer,MAR,2018,14,Fruit
Homalium henriquesii,MAR,2018,4,Fruit
Psydrax subcordata,MAR,2018,44,Fruit
Psydrax acutiflora,MAR,2018,71,Fruit
Antidesma vogelianum,MAR,2018,83,Fruit
Sabicea ingrata ingrata,MAR,2018,48,Fruit
Psidium guajava,MAR,2018,10,Fruit
D. santomea_Obo,MAR,2018,98,Drosophila
F1_Obo,MAR,2018,2,Drosophila
D. yakuba_Obo,MAR,2018,86,Drosophila
D. santomea_BS,MAR,2018,13,Drosophila
F1_BS,MAR,2018,2,Drosophila
D. yakuba_BS,MAR,2018,43,Drosophila
D. yakuba_MC,MAR,2018,10,Drosophila
Ficus clamydocarpa fernandesiana,APR,2018,12,Fruit
Ficus kamerounesis,APR,2018,3,Fruit
Ficus mucoso,APR,2018,4,Fruit
Sapium ellipticum,APR,2018,0,Fruit
Croton stelluifer,APR,2018,1,Fruit
Homalium henriquesii,APR,2018,14,Fruit
Psydrax subcordata,APR,2018,14,Fruit
Psydrax acutiflora,APR,2018,11,Fruit
Antidesma vogelianum,APR,2018,22,Fruit
Sabicea ingrata ingrata,APR,2018,12,Fruit
Psidium guajava,APR,2018,5,Fruit
D. santomea_Obo,APR,2018,14,Drosophila
F1_Obo,APR,2018,0,Drosophila
D. yakuba_Obo,APR,2018,31,Drosophila
D. santomea_BS,APR,2018,2,Drosophila
F1_BS,APR,2018,1,Drosophila
D. yakuba_BS,APR,2018,22,Drosophila
D. yakuba_MC,APR,2018,23,Drosophila
Ficus clamydocarpa fernandesiana,MAY,2018,6,Fruit
