gene_id	chr	start	end	gene	yak-symp:yak-allo:tei_pbs	yak-symp:yak-allo:tei_pval_ortho	yak-symp:yak-allo:tei_pval_bs	paml_ps_scenario
LOC120443886	2L	16858417	16863417	Cul4	0.141311113525374	0.0134996142967343	0.0165217391304347	PS_spill
LOC120443939	2L	16861020	16866021	udd	0.195395639892238	0.0068140910259706	0.0070614692653673	No_PS
LOC120444037	2L	6098370	6126138	Nlg2	0.088709509643845	0.0314991000257135	0.038695652173913	PS_unique_Dyak
LOC120444464	2R	11302598	11312854	Fkbp14	0.07773497532676	0.0371560812548212	0.0462818590704647	PS_spill_Dsan
LOC120444514	2R	5884275	5889275	VhaSFD	0.323820700877032	0.0011571097968629	0.0014542728635682	No_PS
LOC120444515	2R	5888402	5893402	Cyt-c-p	0.323820700877032	0.0011571097968629	0.0014542728635682	PS_spill
LOC120444534	2R	8691359	8696359	CG13344	0.139180435729738	0.0136281820519413	0.0167016491754122	No_PS
LOC120444535	2R	8692188	8697189	CG16935	0.092429099570087	0.0293134481871946	0.0350524737631184	No_PS
LOC120444670	2R	21417842	21422843	sei	0.099007356827913	0.0255849832861918	0.0301499250374812	No_PS
LOC120445171	2L	12407636	12412636	Mtpalpha	0.156473156103307	0.0101568526613525	0.0123538230884557	No_PS
LOC120445568	2R	14950291	14955960	Mapmodulin	0.089357567605035	0.0311133967600925	0.0384257871064467	PS_ancestral
LOC120445783	2R	8713778	8718779	CG6357	0.147639499537647	0.0123425044998714	0.0155472263868065	No_PS
LOC120445795	2R	7395828	7404210	CG17544	0.083207078986011	0.0340704551298534	0.0412143928035982	No_PS
LOC120445802	2R	8716060	8721060	CG6347	0.147639499537647	0.0123425044998714	0.0155472263868065	No_PS
LOC120445831	2L	18562447	18571762	CG1648	0.165108162623309	0.0097711493957315	0.0111844077961019	PS_spill_Dsan
LOC120445900	2R	8319783	8324783	CG43233	0.108115743845601	0.0227564926716379	0.0270764617691154	No_PS
LOC120446230	2R	7469423	7474423	tj	0.091968300973986	0.0296991514528156	0.0368815592203898	PS_spill_Dsan
LOC120446245	2R	5623924	5644223	beat-IIIb	0.169881383617399	0.0092568783749035	0.0096401799100449	No_PS
LOC120446397	2L	8800816	8805816	CSN8	0.074443795938873	0.0402417073797891	0.049415292353823	PS_spill_Dsan
LOC120446405	2L	8801870	8806871	RpS13	0.074443795938873	0.0402417073797891	0.049415292353823	No_PS
LOC120446702	2R	20723881	20728882	CG34210	0.08575103933743	0.0327847775777834	0.0400749625187406	No_PS
LOC120446808	2R	7373189	7378190	CG17349	0.212695843971308	0.0048855746978657	0.0052323838080959	No_PS
LOC120446845	2R	21213161	21218161	shu	0.119832277319503	0.0177423502185651	0.0227736131934033	PS_spill_Dyak
LOC120446847	2R	21214974	21219974	Snap29	0.119832277319503	0.0177423502185651	0.0227736131934033	No_PS
LOC120447074	2R	9640623	9645624	CG13319	0.10811817400974	0.0226279249164309	0.0270464767616191	PS_spill_Dsan
LOC120447631	3L	13759400	13764400	Abp1	0.128901750727666	0.0154281306248392	0.0204947526236881	PS_spill_Dsan
LOC120448266	3L	20914898	20919898	PIG-F	0.10512342273387	0.0237850347132939	0.0281859070464767	No_PS
LOC120448367	3L	8846268	8851269	Uba2	0.212061314356152	0.0050141424530727	0.0055322338830584	No_PS
LOC120448412	3L	16888250	16894393	Mip	0.199017962568686	0.0064283877603497	0.0065817091454272	PS_spill_Dsan
LOC120448418	2L	17686064	17691065	CG8243	0.118636020900224	0.0178709179737721	0.0230134932533733	PS_unique_Dyak
LOC120448449	2L	17688204	17693205	CG8237	0.177954031350335	0.0087426073540755	0.0089955022488755	PS_unique_Dsan
LOC120448569	3L	16917922	16922923	ND-24L	0.100666631374593	0.0249421445101568	0.0293103448275862	No_PS
LOC120448897	3L	4536311	4541311	mge	0.084611402060541	0.0332990485986114	0.0405397301349325	No_PS
LOC120448945	3L	3820073	3825073	RpL28	0.179848465162522	0.0084854718436616	0.0086806596701649	PS_unique_Dyak
LOC120448983	3L	9581675	9586676	CG16758	0.080127885069714	0.0357418359475443	0.0446026986506746	No_PS
LOC120449167	3L	19876992	19881993	Gr77a	0.089559904557817	0.0309848290048855	0.038215892053973	PS_ancestral
LOC120449246	2L	6285714	6290714	homer	0.213523017625894	0.0047570069426587	0.0051424287856071	No_PS
LOC120449255	2L	6289179	6294180	Aatf	0.213523017625894	0.0047570069426587	0.0051424287856071	PS_spill_Dsan
LOC120449426	3L	4265007	4270007	CG10862	0.092721926424388	0.0286706094111596	0.0345427286356821	PS_spill
LOC120449519	3L	16352643	16357644	Tsp74F	0.147590244651599	0.0124710722550784	0.0156071964017991	No_PS
LOC120449569	3L	20207736	20212737	CG13248	0.10551309988014	0.0236564669580869	0.0280809595202398	PS_spill_Dsan
LOC120449687	3L	3822062	3827063	eIF1	0.179848465162522	0.0084854718436616	0.0086806596701649	No_PS
LOC120449892	3L	9809331	9814331	yellow-g	0.108178963177554	0.0223707894060169	0.026791604197901	PS_unique_Dyak
LOC120449893	3L	9811299	9816300	CG32302	0.108178963177554	0.0223707894060169	0.026791604197901	PS_spill_Dsan
LOC120449898	3L	3825533	3836427	Larp4B	0.130308807538774	0.0150424273592183	0.0201349325337331	PS_spill_Dsan
LOC120450008	3L	22894425	22899425	CG14455	0.118551259308945	0.0179994857289791	0.0230734632683658	No_PS
LOC120450059	2L	16159919	16164919	Gr43a	0.078174174265109	0.0368989457444073	0.045487256371814	PS_spill_Dsan
LOC120450180	3L	9812386	9817387	obst-I	0.108178963177554	0.0223707894060169	0.026791604197901	PS_ancestral
LOC120450424	3L	1659701	1664701	CG7974	0.075211516893938	0.0392131653381331	0.0481409295352323	PS_spill_Dsan
LOC120450757	3R	6625615	6657482	CG17816	0.115110599120096	0.019799434301877	0.0239280359820089	No_PS
LOC120450780	3R	9421103	9426104	Kap-alpha3	0.207155630461757	0.0057855489843147	0.0061019490254872	PS_unique_Dyak
LOC120450781	3R	9417545	9422545	CG9399	0.118393004130139	0.0181280534841861	0.0231184407796101	No_PS
LOC120450862	3R	4551281	4557885	MICU3	0.083909709551602	0.0335561841090254	0.0407346326836581	PS_ancestral
LOC120450910	3R	14270491	14275491	pad	0.093189478738463	0.0285420416559526	0.0344527736131934	No_PS
LOC120450941	3R	10735094	10740094	CG6621	0.115353611096644	0.0195422987914631	0.0238530734632683	No_PS
LOC120450943	3R	10732957	10738204	Adk3	0.07399601499083	0.0407559784006171	0.0497001499250374	PS_spill
LOC120450964	3R	17749675	17754675	CG11373	0.113902806580697	0.019928002057084	0.0240929535232383	No_PS
LOC120451032	3R	2013934	2018934	HDAC3	0.096638314823461	0.0268706608382617	0.0324287856071964	PS_unique_Dyak
LOC120451035	3R	2012196	2017196	Snr1	0.096638314823461	0.0268706608382617	0.0324287856071964	No_PS
LOC120451037	3R	2014912	2019913	CG45100	0.096638314823461	0.0268706608382617	0.0324287856071964	PS_ancestral
LOC120451057	3R	3846030	3852457	Ppcs	0.115710516891185	0.0192851632810491	0.0237331334332833	PS_spill_Dsan
LOC120451238	2L	131186	137734	CG3164	0.126086280271873	0.0161995371560812	0.0208545727136431	No_PS
LOC120451279	3R	19064084	19069274	PyK	0.081415919215778	0.0350989971715093	0.0439130434782608	PS_ancestral
LOC120451316	3R	3370204	3375205	CG7702	0.083400862941624	0.0339418873746464	0.040839580209895	No_PS
LOC120451317	3R	3365417	3370417	CG31229	0.247367313621552	0.0032141938801748	0.0035382308845577	PS_unique_Dyak
LOC120451318	3R	3368713	3373713	CG31230	0.488857444538084	0.0008999742864489	0.0008845577211394	No_PS
LOC120451377	3R	447181	498146	CG42402	0.488857444538084	0.0008999742864489	0.0008845577211394	PS_spill
LOC120451421	3R	23564278	23570274	Men-b	0.076866652402681	0.0377989200308562	0.0467466266866566	No_PS
LOC120451769	3R	7442905	7447905	Ref1	0.236039844298269	0.0038570326562098	0.0043328335832083	PS_unique_Dyak
LOC120451770	3R	7445812	7450812	CG1943	0.236039844298269	0.0038570326562098	0.0043328335832083	PS_spill_Dsan
LOC120451837	3R	3687442	3692443	snRNP-U1-C	0.094164026813451	0.0281563383903317	0.0337181409295352	PS_unique_Dyak
LOC120451872	3R	11537155	11542155	CG3534	0.122224644307293	0.0168423759321162	0.0222188905547226	PS_unique_Dsan
LOC120451876	2L	13856570	13861570	Vps52	0.107224168539114	0.0232707636924659	0.0274062968515742	PS_spill
LOC120452193	3R	18161599	18177147	Dmtn	0.10811817400974	0.0226279249164309	0.0270464767616191	No_PS
LOC120452249	3R	5206885	5211886	Or92a	0.081864656527743	0.0348418616610953	0.0437781109445277	PS_spill_Dsan
LOC120452281	3R	19081943	19086943	CAH8	0.202639468484085	0.0061712522499357	0.0065367316341829	No_PS
LOC120452487	3R	23723506	23730005	CG14253	0.268938326566799	0.0024427873489328	0.0030434782608695	No_PS
LOC120452663	3R	11447073	11452073	GckIII	0.092652448205618	0.0289277449215736	0.0346176911544227	PS_spill
LOC120452707	3R	11895633	11900634	Arl6IP1	0.11168792049363	0.021085111853947	0.0251574212893553	No_PS
LOC120452850	3R	5001370	5006370	CG4362	0.092672793266122	0.0287991771663666	0.0345427286356821	No_PS
LOC120452987	3R	20761223	20766224	Cog7	0.14931108022822	0.0118282334790434	0.0153373313343328	PS_independent
LOC120452989	3R	20757855	20762855	eIF2Balpha	0.095919450719936	0.0272563641038827	0.0328335832083958	No_PS
LOC120452992	3R	20759496	20764497	CG42557	0.30239473069166	0.0015428130624839	0.0016641679160419	PS_unique_Dyak
LOC120452993	3R	20758844	20763845	CG42558	0.103840088366471	0.0240421702237078	0.0283208395802098	PS_spill_Dsan
