seqnames,start,end,length,yak_FB,mel_FB,CG,symbol,DA_yak,DA_san,DS_yak,DS_san,PA_yak,PS_yak,PA_san,PS_san,type
2R,11241745,11242194,450,FBgn0230747,FBgn0033593,CG9080,Listericin,0,1,1,0,2,4,5,3,genome
2R,19249395,19250917,1523,FBgn0229802,FBgn0004003,CG7225,wbl,0,0,0,0,13,41,1,12,genome
2R,13235980,13237055,1076,FBgn0230265,FBgn0033815,CG4676,CG4676,0,0,2,0,16,30,6,13,genome
2L,19387050,19390075,3026,FBgn0230383,FBgn0032774,CG17549,CG17549,0,0,2,0,10,19,10,19,genome
2R,12180493,12182373,1881,FBgn0230157,FBgn0033692,CG13176,wash,0,0,0,0,30,55,15,27,genome
2R,14759646,14769423,9778,FBgn0230044,FBgn0020767,CG10155,Spred,0,0,0,3,14,52,1,12,genome
2R,20978901,20984043,5143,FBgn0229920,FBgn0034566,CG9313,CG9313,0,0,0,0,14,146,4,50,genome
2R,20994900,20996118,1219,FBgn0229921,FBgn0261394,CG9327,Prosalpha3,0,0,0,2,1,43,0,21,genome
2R,14757907,14759602,1696,FBgn0230046,FBgn0033963,CG12857,CG12857,0,2,0,1,55,82,20,20,genome
2R,13239729,13241013,1285,FBgn0230266,FBgn0033817,CG4688,GstE14,0,0,0,3,20,18,2,9,genome
2R,19259909,19262294,2386,FBgn0229804,FBgn0034423,CG7229,CG7229,2,8,0,3,68,96,33,29,genome
2L,19383138,19386205,3068,FBgn0230384,FBgn0032773,CG15825,fon,1,3,0,1,40,31,21,24,genome
4,157575,175639,18065,FBgn0232129,FBgn0053978,CG33978,CG33978,15,22,9,5,17,7,8,4,genome
2R,13257886,13258477,592,FBgn0230267,FBgn0033821,CG10799,CG10799,0,2,0,1,20,7,5,0,genome
2R,14757064,14757846,783,FBgn0230047,FBgn0266723,CG10153,Trs31,0,0,0,0,2,31,0,10,genome
4,154654,156060,1407,FBgn0232130,FBgn0051997,CG31997,CG31997,1,0,0,0,0,3,0,2,genome
2R,19270078,19281396,11319,FBgn0229805,FBgn0003254,CG7230,rib,1,0,0,1,13,84,5,21,genome
2L,19338669,19363227,24559,FBgn0230385,FBgn0024245,CG17559,dnt,1,0,3,3,11,42,6,43,genome
2R,20996220,21007740,11521,FBgn0229922,FBgn0034570,CG10543,CG10543,1,1,0,2,69,148,12,42,genome
4,115074,129849,14776,FBgn0232131,FBgn0011747,CG1651,Ank,9,7,8,4,9,10,4,4,genome
2R,14753337,14756288,2952,FBgn0230048,FBgn0033960,CG10151,CG10151,0,1,0,3,74,123,34,46,genome
2L,11342301,11343318,1018,FBgn0230620,FBgn0032360,CG14926,CG14926,0,0,0,0,30,25,11,9,genome
2L,11083459,11085229,1771,FBgn0230748,FBgn0032337,CG14920,AstCC,0,0,0,0,15,37,9,21,genome
2L,11585433,11586833,1401,FBgn0230506,FBgn0028412,CG6541,Mst33A,0,0,0,0,107,45,86,37,genome
2R,19287983,19288995,1013,FBgn0229807,FBgn0034428,CG18606,CG18606,0,7,1,2,22,10,0,0,genome
2R,19284551,19285219,669,FBgn0229807,FBgn0034426,CG10476,CG10476,0,7,1,2,22,10,0,0,genome
2L,12100765,12103285,2521,FBgn0230158,FBgn0029137,CG6618,Patsas,0,0,0,1,6,103,1,48,genome
2L,19298345,19299933,1589,FBgn0230386,FBgn0032768,CG17564,CG17564,0,0,1,0,9,19,3,18,genome
2L,566366,568121,1756,FBgn0233570,FBgn0021874,CG2863,Nle,0,0,0,0,14,49,2,18,genome
3R,23682503,23683980,1478,FBgn0228245,FBgn0039101,CG16710,CG16710,1,2,0,0,35,34,10,13,genome
3R,21911816,21913591,1776,FBgn0228128,FBgn0038918,CG6690,CG6690,0,0,0,0,103,118,48,49,genome
2R,21011970,21015628,3659,FBgn0229923,FBgn0034572,CG9346,CG9346,0,1,0,1,43,137,9,52,genome
2L,12014304,12020960,6657,FBgn0230268,FBgn0032395,CG6734,CG6734,0,1,0,0,139,348,57,183,genome
2R,11239494,11240114,621,FBgn0230749,FBgn0033592,CG13215,CG13215,0,2,1,0,3,4,5,1,genome
4,32478,43778,11301,FBgn0232132,FBgn0025740,CG17245,PlexB,8,4,9,8,8,9,2,9,genome
2R,14750166,14752910,2745,FBgn0230049,FBgn0028689,CG10149,Rpn6,0,0,0,1,6,59,1,22,genome
2R,19285395,19286730,1336,FBgn0229809,FBgn0034427,CG10474,CG10474,0,0,0,0,32,19,1,2,genome
2L,21206493,21211818,5326,FBgn0230621,FBgn0026255,CG8681,clumsy,3,5,7,7,16,26,0,2,genome
2R,12182639,12185506,2868,FBgn0230159,FBgn0033693,CG13175,CG13175,0,0,0,0,14,14,9,12,genome
2L,17178772,17180064,1293,FBgn0230507,FBgn0045486,CG31744,Gr36b,1,3,2,3,23,16,19,18,Gr
2L,8355678,8362469,6792,FBgn0228867,FBgn0032026,CG7627,CG7627,0,4,4,3,28,220,19,63,genome
2L,18997448,19002713,5266,FBgn0228867,FBgn0051792,CG31792,CG31792,0,4,4,3,28,220,19,63,genome
2L,19003367,19008234,4868,FBgn0228867,FBgn0051793,CG31793,CG31793,0,4,4,3,28,220,19,63,genome
2L,20929456,20934113,4658,FBgn0228867,FBgn0032908,CG9270,CG9270,0,4,4,3,28,220,19,63,genome
2R,21017784,21024918,7135,FBgn0229924,FBgn0050296,CG30296,RIC-3,0,0,0,0,10,44,2,12,genome
2L,19259432,19262240,2809,FBgn0230388,FBgn0051797,CG31797,CG31797,11,6,4,2,82,33,80,28,genome
2R,19289109,19289852,744,FBgn0229810,FBgn0034429,CG18607,CG18607,1,4,1,2,15,11,3,2,genome
2R,11238108,11238995,888,FBgn0230750,FBgn0033591,CG13216,CG13216,1,1,3,1,7,6,6,7,genome
2R,21025078,21026086,1009,FBgn0229925,FBgn0034576,CG9350,CG9350,0,0,0,0,2,23,0,12,genome
2L,12429827,12430892,1066,FBgn0230050,FBgn0032431,CG5435,CG5435,0,0,0,0,4,27,6,18,genome
2L,17180338,17181632,1295,FBgn0230508,FBgn0045485,CG31748,Gr36c,3,8,2,2,9,3,16,4,Gr
2R,12182639,12185506,2868,FBgn0230160,FBgn0053964,CG33964,CG33964,0,1,0,0,84,84,30,29,genome
3R,21913747,21915546,1800,FBgn0228129,FBgn0038919,CG17843,CG17843,0,0,0,0,69,107,40,46,genome
2R,13298995,13301547,2553,FBgn0230271,FBgn0033827,CG17047,CG17047,0,2,0,3,19,46,7,25,genome
2L,19183863,19185726,1864,FBgn0230389,FBgn0010097,CG17566,gammaTub37C,0,0,2,1,2,16,0,8,genome
2L,21221312,21232059,10748,FBgn0230622,FBgn0026577,CG8677,CG8677,20,16,19,22,47,29,16,12,genome
2L,8321280,8325409,4130,FBgn0228870,FBgn0032021,CG7781,CG7781,0,0,0,0,6,14,0,6,genome
X,5500208,5501229,1022,FBgn0234303,FBgn0052762,CG32762,CG32762,1,1,0,1,13,12,5,4,genome
X,5752249,5754041,1793,FBgn0233952,FBgn0029799,CG15772,CG15772,0,0,2,0,9,18,2,7,genome
X,2935127,2935966,840,FBgn0233824,FBgn0029642,CG3592,CG3592,0,2,3,2,9,9,4,3,genome
