gene_id	chr	start	end	gene	san:yak-symp:tei_pbs	san:yak-symp:tei_pval_ortho	san:yak-symp:tei_pval_bs	paml_ps_scenario
LOC120444345	2R	8566874	8572785	RN-tre	0.88046714365332	0.0058378378378378	0.0027278775781769	PS_spill_Dsan
LOC120444911	2R	14373322	14378323	CG5189	0.851997106201987	0.0227027027027027	0.0270459081836327	PS_spill
LOC120445402	2R	14377058	14382059	slim	0.851997106201987	0.0227027027027027	0.0270459081836327	No_PS
LOC120445672	2R	20916729	20922850	pita	0.865625256004289	0.0155675675675675	0.0199933466400532	PS_spill_Dsan
LOC120445677	2R	20918170	20923170	Dcp-1	0.865625256004289	0.0155675675675675	0.0199933466400532	No_PS
LOC120445777	2R	14690138	14695139	Hsf	0.843591287880193	0.0257297297297297	0.0312375249500998	No_PS
LOC120445889	2R	12503258	12508259	CG13868	0.876230226623254	0.0099459459459459	0.0117431803060545	No_PS
LOC120446480	2R	15243711	15250372	Dcr-2	0.883899788896608	0.001081081081081	0.0023286759813705	PS_independent
LOC120446585	2L	6913351	6927457	Kr-h1	0.858603507965411	0.0188108108108108	0.0246839654025282	No_PS
LOC120447046	2R	6140327	6148389	kel	0.870540310169177	0.0136216216216216	0.0144045242847638	PS_spill_Dsan
LOC120447147	2R	9333604	9338986	Dp	0.837589277042617	0.0281081081081081	0.0339321357285429	No_PS
LOC120447148	2R	9329577	9334578	Pex13	0.837589277042617	0.0281081081081081	0.0339321357285429	PS_independent
LOC120447488	3L	2594824	2599824	Hsp67Ba	0.876716558890441	0.008	0.0069860279441117	No_PS
LOC120448037	3L	18241192	18246192	mrn	0.870847695033968	0.0121081081081081	0.0144045242847638	PS_spill_Dsan
LOC120448279	3L	19342466	19347466	pzg	0.883899788896608	0.001081081081081	0.0023286759813705	No_PS
LOC120448655	3L	20985279	20990280	CG46434	0.835102585533766	0.0285405405405405	0.0345974717232202	No_PS
LOC120448664	3L	17654781	17663504	Mipp1	0.828241110463297	0.0296216216216216	0.0360944777112441	PS_independent
LOC120448665	3L	17657513	17662513	CG43206	0.828241110463297	0.0296216216216216	0.0360944777112441	PS_spill_Dsan
LOC120449298	3L	19449004	19454004	AsnS	0.870847695033968	0.0121081081081081	0.0144045242847638	No_PS
LOC120449614	3L	20566239	20584443	kug	0.842194393946644	0.0261621621621621	0.0318695941450432	No_PS
LOC120451279	3R	19064084	19069274	PyK	0.845155754638574	0.0252972972972972	0.0304723885562208	PS_ancestral
LOC120451841	2L	551804	556804	Spp	0.883730772369872	0.0017297297297297	0.0024284763805721	No_PS
LOC120452327	3R	9373687	9378688	by	0.860726334429565	0.0175135135135135	0.0219560878243512	No_PS
LOC120452466	3R	5340663	5349838	Lrrk	0.87019196533229	0.0138378378378378	0.0158682634730538	No_PS
LOC120452583	3R	28262622	28267622	Loxl1	0.876230226623254	0.0099459459459459	0.0117431803060545	No_PS
LOC120452625	3R	26675726	26680726	Pisd	0.875709505755758	0.0105945945945945	0.0117431803060545	No_PS
LOC120452734	3R	28553943	28558943	nero	0.870540310169177	0.0136216216216216	0.0144045242847638	PS_spill_Dsan
LOC120452736	3R	28552011	28557012	CG1896	0.870540310169177	0.0136216216216216	0.0144045242847638	No_PS
