gene_id	chr	start	end	gene	san:yak:tei_pbs	san:yak:tei_pval_ortho	san:yak:tei_pval_bs	san:yak-symp:yak-allo_pbs	san:yak-symp:yak-allo_pval_ortho	san:yak-symp:yak-allo_pval_bs	san:yak-symp:tei_pbs	san:yak-symp:tei_pval_ortho	san:yak-symp:tei_pval_bs	san:yak-allo:tei_pbs	san:yak-allo:tei_pval_ortho	san:yak-allo:tei_pval_bs	yak-symp:yak-allo:tei_pbs	yak-symp:yak-allo:tei_pval_ortho	yak-symp:yak-allo:tei_pval_bs
LOC120458484	2L	1997032	2002033	Obp22a	0.078200005721491	0.5235492010092515	0.47404888689292357	0.138483274368778	0.46493037648272306	0.4005931590991208	0.08034022022297	0.5158918918918919	0.470791749833666	0.149205733297052	0.4295660245996751	0.39529634483762927	-0.015040891073533	0.6628953458472615	0.628215892053973
LOC120457390	2L	16881700	16886701	Obp44a		0.0	0.0	0.377505681857021	0.04538421866941723	0.05844273154281585		0.0	0.0		0.0	0.0	0.026012736889691	0.1590383131910517	0.16922038980509746
LOC120458636	2L	19065399	19070399	Obp46a		0.0	0.0	0.161155223938317	0.36964930376482724	0.3229254486330242		0.0	0.0		0.0	0.0	-0.009735287873832	0.5902545641553099	0.5648725637181409
LOC120446351	2R	3851009	3856010	Obp47a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC120446103	2R	12267867	12272868	Obp57d	0.287148279330552	0.28280067283431454	0.28158080451658435	0.131207439216569	0.501031459515214	0.431154402023365	0.292366710724045	0.28194594594594596	0.2797737857618097	0.271268714841698	0.31886748665583664	0.31422018348623854	-0.017217811778852	0.6889946001542813	0.6520689655172414
LOC120446197	2R	12268719	12273719	Obp57e	0.164177658828291	0.41589571068124476	0.3841983704369025	0.127982721833979	0.5168901495616297	0.44574250270986393	0.162430898770495	0.4175135135135135	0.38506320691949436	0.160713858316893	0.41935483870967744	0.38899810688801517	-0.016454685359946	0.6785806119825147	0.6425787106446776
LOC120446423	2R	12311457	12316457	Obp57a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC120446425	2R	12312334	12317334	Obp57b		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC120446424	2R	12313008	12318009	Obp57c		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC120448989	3L	12607060	12612060	Obp69a	0.007246504577163	0.7478973927670312	0.7129980111631488	0.038134256914598	0.9238009283135636	0.8914850054197279		0.0	0.0	0.018520675801811	0.6853098166627988	0.6487913208096694	0.00600501517177	0.348290048855747	0.34031484257871064
LOC120450106	3L	17289267	17294267	Obp73a		0.0	0.0	0.051548622775397	0.8755801959773079	0.8317776707214259		0.0	0.0		0.0	0.0	-0.022065991955055	0.7453072769349447	0.7110494752623688
LOC120450778	3R	5847138	5852138	Obp93a		0.0	0.0	0.715649521979668	0.004899432697266632	0.006006864988558352		0.0	0.0		0.0	0.0	-0.176348605627458	0.9870146567240936	0.9820539730134933
LOC120453377	3R	7271119	7276119	Obp84a	0.030718978810396	0.6461312026913373	0.6021684737281068	0.105051603684024	0.6199071686436307	0.5427104660965916	0.033516366934208	0.6356756756756756	0.5861942781104458	0.02671384320832	0.6507310280807612	0.6123125091014999	0.023163897360879	0.18115196708665468	0.18944527736131933
LOC120454252	3R	8262532	8267533	Obp85a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC120453718	3R	17764241	17769241	Obp83a		0.0	0.0	0.450742372506192	0.026689014956162972	0.037862820667228715		0.0	0.0		0.0	0.0	0.005332765884171	0.3588326047827205	0.34980509745127436
