gene_id	chr	start	end	gene	san:yak-symp:yak-allo_pbs	san:yak-symp:yak-allo_pval_ortho	san:yak-symp:yak-allo_pval_bs	paml_ps_scenario
LOC120321771	3R	3762060	3767061	CG45100	0.478586661359704	0.024070021881838	0.0228904917622392	PS_ancestral
LOC26535774	3L	6784110	6789110	Lcp65Ac	0.446707713531352	0.0301197065259364	0.0300095442241797	No_PS
LOC6523709	4	240775	254942	CG31999	0.436032468584092	0.032694040417042	0.0320122666750113	PS_independent
LOC6523726	4	545567	551798	bip2	0.586801227178785	0.0119706525936413	0.0139251795409384	PS_spill
LOC6523839	X	644867	649867	tw	0.454217428270673	0.0280602394130518	0.0273653247383161	No_PS
LOC6523840	X	647594	652594	CG13360	0.454217428270673	0.0280602394130518	0.0273653247383161	PS_unique_Dyak
LOC6524005	X	2217358	2226596	dtn	0.404979205014382	0.038100141588364	0.0384741758327726	No_PS
LOC6524022	X	2316556	2321556	CG42240	0.43639281451947	0.0324366070279315	0.0319496815984228	No_PS
LOC6524090	X	2808095	2813095	CG43137	0.696041812930952	0.0054061011713219	0.0064932016960555	PS_independent
LOC6524178	X	3583327	3592485	CG32767	0.498142160275043	0.0205946711288454	0.0208251842348192	PS_spill
LOC6524401	X	6124371	6129371	z	0.526281565926504	0.0176341871540738	0.0178680393660131	No_PS
LOC6524542	X	7246150	7251150	CG4404	0.622001118496355	0.0090101686188698	0.0096850406020684	PS_spill_Dsan
LOC6524543	X	7248428	7253429	mRpL49	0.377922603421551	0.0472390269017891	0.0457653372553314	PS_independent
LOC6524717	X	8621531	8631584	na	0.689804233117793	0.0064358347277641	0.0071659912693818	PS_spill_Dsan
LOC6524731	X	8974785	8979785	CG14414	0.583826557011906	0.0126142360664178	0.0141755198472924	PS_ancestral
LOC6524732	X	8975809	8980809	mRpS25	0.583826557011906	0.0126142360664178	0.0141755198472924	PS_spill_Dsan
LOC6524963	X	10766572	10774915	Fur2	0.415267383797912	0.0359119577809241	0.0368313175723248	PS_unique_Dyak
LOC6524965	X	10778225	10783225	CG4239	0.635944151975804	0.0082378684515381	0.0089183734138594	No_PS
LOC6524980	X	10928974	10934593	Arp2	0.42218591228774	0.0351396576135924	0.0357830175394677	No_PS
LOC6525064	X	11467739	11472740	CG15201	0.410930265410613	0.0370704080319217	0.0374415220690626	No_PS
LOC6525189	X	12377223	12382223	CG12204	0.876716558890441	0.0010297335564422	0.0006258507658848	PS_spill_Dsan
LOC6525190	X	12378175	12383176	ND-18	0.876716558890441	0.0010297335564422	0.0006258507658848	No_PS
LOC6525191	X	12381495	12387771	pcm	0.87859185127188	0.0007723001673317	0.0006258507658848	No_PS
LOC6525279	X	13180188	13185189	Ppt1	0.856143503054145	0.0024456171965503	0.0031761926368657	PS_spill_Dsan
LOC6525293	X	13310738	13315738	CG12112	0.555933164851836	0.0144162697901917	0.0150517109195312	No_PS
LOC6525294	X	13313646	13318647	IntS4	0.422196189862065	0.0350109409190372	0.0356734936554378	No_PS
LOC6525752	X	17169540	17180643	wupA	0.499775239232674	0.0202085210451795	0.0204809663135825	No_PS
LOC6525917	X	18368306	18396474	Zdhhc8	0.875709505755758	0.0012871669455528	0.0011108851094456	PS_ancestral
LOC6525993	X	19264289	19274115	CG34408	0.544830820777863	0.016347020208521	0.0160374258757999	No_PS
LOC6526316	2L	583486	588487	lwr	0.531121227654457	0.0175054704595186	0.0175551139830707	No_PS
LOC6526317	2L	585233	590234	Spp	0.531121227654457	0.0175054704595186	0.0175551139830707	No_PS
LOC6526321	2L	602460	607461	Tspo	0.613370031772908	0.0100399021753121	0.010529939136013	PS_unique_Dyak
LOC6526325	2L	613073	618073	Sf3b1	0.46857718874335	0.0253571888273909	0.0242047783705975	No_PS
LOC6526428	2L	1530868	1535869	CG18131	0.397028995967335	0.0413180589522461	0.0409932251654592	PS_ancestral
LOC6526429	2L	1533243	1538243	CG7420	0.397028995967335	0.0413180589522461	0.0409932251654592	No_PS
LOC6526530	2L	2269495	2274496	Tengl3	0.418133607765438	0.0355258076972583	0.0362836981521756	No_PS
LOC6527043	2L	6279169	6284170	homer	0.374644667428592	0.0478826103745655	0.0467510522116001	No_PS
LOC6527045	2L	6282677	6287678	Aatf	0.374644667428592	0.0478826103745655	0.0467510522116001	PS_spill_Dsan
LOC6527366	2L	11192502	11197502	CG6583	0.6920788496089	0.0060496846440983	0.0068217733481451	No_PS
LOC6527367	2L	11190855	11195856	crok	0.6920788496089	0.0060496846440983	0.0068217733481451	PS_spill
LOC6528081	2L	13324894	13334504	lid	0.617313445674004	0.0099111854807568	0.0102483062913648	PS_ancestral
LOC6528141	2L	13777844	13782844	Lam	0.594944918190658	0.0113270691208649	0.0117347018603414	PS_spill_Dsan
LOC6528457	2L	16360012	16365012	CG1339	0.453651003223988	0.0281889561076071	0.0275843725063758	PS_spill_Dsan
LOC6528475	2L	16444046	16484964	CG46385	0.487649393702074	0.0221392714635088	0.0219360693442648	PS_ancestral
LOC6528486	2L	16519360	16524361	CG30383	0.404554013759445	0.0382288582829193	0.0385524071785082	No_PS
LOC6528543	2L	16820371	16840613	Lpin	0.574682377441265	0.0131291028446389	0.014519737768529	No_PS
LOC6528665	2L	17616547	17621547	CG8237	0.449067561715105	0.0293474063586047	0.0284605635786146	PS_unique_Dsan
LOC6528666	2L	17617884	17622885	AIMP1	0.438703483246214	0.0317930235551551	0.0315428786005976	PS_independent
LOC6528728	2L	17884939	17889939	unpg	0.489742390633101	0.0218818380743982	0.021576205153881	No_PS
LOC6528978	2L	19791313	19798449	Gli	0.618953078455072	0.009525035397091	0.0099979659850108	No_PS
LOC6529111	2L	21413597	21418598	CG8245	0.448685181420549	0.0294761230531599	0.0285544411934974	PS_unique_Dsan
LOC6529344	2R	4914928	4919929	cag	0.505703631918716	0.0198223709615137	0.020293211083817	No_PS
LOC6529399	2R	5341970	5346971	CG17765	0.626082936680105	0.0087527352297593	0.0094347002957144	PS_independent
LOC6529442	2R	6078891	6083891	CG6870	0.692819771357601	0.0056635345604324	0.0067748345407037	PS_ancestral
LOC6529443	2R	6080484	6085485	Oli	0.692819771357601	0.0056635345604324	0.0067748345407037	PS_spill_Dyak
LOC6529487	2R	6693902	6715553	beat-IIIb	0.633442097495223	0.008624018535204	0.0091843599893605	No_PS
LOC6529516	2R	6921989	6926989	ppk17	0.547844479975864	0.0158321534302999	0.0157870855694459	PS_spill_Dsan
LOC6529517	2R	6925218	6930218	yellow-b	0.547844479975864	0.0158321534302999	0.0157870855694459	No_PS
LOC6529528	2R	6955981	6960981	VhaSFD	0.691821092529613	0.0061784013386536	0.0068530658864393	No_PS
LOC6529529	2R	6960088	6965088	Cyt-c-p	0.450966980905083	0.0290899729694941	0.0281632844648193	PS_spill
LOC6529593	2R	7752134	7757135	Cyp310a1	0.757345036622051	0.0030892006693268	0.0040210911708103	PS_spill_Dsan
LOC6529659	2R	8145958	8150959	Ttc19	0.436842976040334	0.0323078903333762	0.0318870965218343	No_PS
LOC6529987	2R	10426833	10431833	Pex13	0.378895538369672	0.0468528768181233	0.0454367656032419	PS_independent
LOC6529988	2R	10430406	10436180	Dp	0.378895538369672	0.0468528768181233	0.0454367656032419	No_PS
LOC6530033	2R	10739877	10744877	CG13319	0.6910954492612	0.0063071180332089	0.0069156509630278	PS_spill_Dsan
LOC6530141	2R	11316932	11321933	CG8490	0.48176917258499	0.0234264384090616	0.0224993350335612	PS_unique_Dyak
LOC6530476	2R	13409212	13414212	CG10265	0.623238491832483	0.0088814519243145	0.0096693943329213	No_PS
LOC6531745	2R	21474681	21479681	CG9849	0.464144659416869	0.0265156390783884	0.024908860482218	No_PS
LOC6531999	2R	22706719	22711720	spag	0.431118192977234	0.0342386407517055	0.034546962276845	PS_spill_Dsan
LOC6532084	2R	23154281	23159282	CG4707	0.453004682610075	0.028575106191273	0.0278347128127298	PS_ancestral
LOC6532153	2R	23514866	23519866	CG2736	0.596128106562884	0.0111983524263096	0.0116251779763115	No_PS
LOC6532207	3L	267160	272161	mthl14	0.379265598981528	0.0463380100399021	0.0452646566426235	No_PS
LOC6532776	3L	3798352	3803353	CG14966	0.400281264194736	0.0395160252284721	0.0397102310953953	PS_spill
LOC6532786	3L	3823117	3828118	RpL28	0.871513961372253	0.0015446003346634	0.0012204089934755	PS_unique_Dyak
LOC6532791	3L	3825165	3830165	eIF1	0.871513961372253	0.0015446003346634	0.0012204089934755	No_PS
LOC6532838	3L	4259971	4264972	CG10862	0.664635826354323	0.00682198481143	0.0079483047267379	PS_spill
LOC6533037	3L	5750566	5755567	Prpk	0.482121916244474	0.023169005019951	0.0224054574186785	No_PS
LOC6533441	3L	8950076	8955077	CG1271	0.471770116721151	0.0252284721328356	0.0239544380642435	PS_spill
LOC6533487	3L	9357726	9362726	CG14949	0.431765408115099	0.0339812073625949	0.0345000234694037	No_PS
LOC6533695	3L	11392837	11401131	CG6175	0.860726334429565	0.0021881838074398	0.0026911582933049	No_PS
LOC6533977	3L	13261360	13266360	CG17300	0.508976114338354	0.0193075041832925	0.0197455916636677	No_PS
LOC6534345	3L	16835598	16840598	Mip	0.400430762747792	0.0393873085339168	0.0397102310953953	PS_spill_Dsan
LOC6534412	3L	17453828	17458828	Dbp73D	0.37280805162734	0.0492984940146737	0.049176223929404	PS_unique_Dyak
LOC6534921	3L	20919148	20924149	CG9372	0.54281180035182	0.0164757369030763	0.0161313034906826	No_PS
LOC6535319	3R	2999814	3004815	eIF3f1	0.87019196533229	0.0019307504183292	0.0019244911050959	No_PS
LOC6535396	3R	3663355	3668356	CG14667	0.555740354010292	0.014544986484747	0.0151142959961197	No_PS
LOC6535412	3R	3759384	3764385	Snr1	0.478586661359704	0.024070021881838	0.0228904917622392	No_PS
LOC6535413	3R	3761168	3766168	HDAC3	0.478586661359704	0.024070021881838	0.0228904917622392	PS_unique_Dyak
LOC6535494	3R	4341905	4346906	CG12347	0.515439949077764	0.0187926374050714	0.0192762035892541	No_PS
LOC6535645	3R	5551539	5556539	ATPsynD	0.462556776538188	0.0266443557729437	0.0250027380971007	PS_spill
LOC6535858	3R	7351033	7356034	RpS30	0.536485732123193	0.0168618869867421	0.0168823244097444	PS_unique_Dyak
LOC6535859	3R	7353569	7358570	Ir93a	0.558719599300047	0.0141588364010812	0.0149891258429427	PS_spill_Dsan
LOC6535886	3R	7606273	7611274	CG7044	0.554832285657252	0.0146737031793023	0.0153489900333265	No_PS
LOC6536083	3R	9184406	9191018	CG2656	0.522493125664758	0.0185352040159608	0.0186503528233692	No_PS
LOC6536084	3R	9184741	9189741	gfzf	0.611871551322979	0.0101686188698674	0.010529939136013	No_PS
LOC6536201	3R	9974086	9979087	Coq2	0.413975308110462	0.0361693911700347	0.0368782563797662	No_PS
LOC6536679	3R	13332385	13337386	CG3534	0.400886796606047	0.0392585918393615	0.0395694146730712	PS_unique_Dsan
LOC6536993	3R	15610460	15616077	f-cup	0.462309528540039	0.026773072467499	0.0250027380971007	No_PS
LOC6537531	3R	19356388	19362233	kat-60L1	0.370999399948109	0.0498133607928948	0.0496143194655234	PS_ancestral
LOC6537726	3R	20846966	20852162	PyK	0.674301064015664	0.0066932681168747	0.0076040868055012	PS_ancestral
LOC6538071	3R	23260846	23265846	Brd8	0.409111721368035	0.0373278414210323	0.0376762161062694	PS_spill_Dsan
LOC6538130	3R	23614397	23619398	Nepl18	0.437827421196382	0.0319217402497103	0.0316211099463333	No_PS
LOC6538298	3R	25356519	25361520	grass	0.499353219857734	0.0204659544342901	0.0206061364667595	No_PS
LOC6538347	3R	25640514	25645515	SPARC	0.479943207831896	0.0236838717981722	0.0226557977250324	PS_spill_Dsan
LOC6538348	3R	25644890	25649891	His2Av	0.427807425401871	0.034496074140816	0.0349381190055231	PS_independent
LOC6538351	3R	25653065	25674118	Lerp	0.442011413236703	0.0315355901660445	0.0311830144102138	No_PS
LOC6538565	3R	27282280	27292165	Cad96Cb	0.732665869599159	0.0043763676148796	0.0048346971664606	PS_spill_Dsan
LOC6538789	3R	28473691	28478691	Atg6	0.405709798873099	0.0378427081992534	0.0383177131413014	No_PS
LOC6538790	3R	28475046	28480047	CG5986	0.442033576430358	0.0312781567769339	0.0309170278347128	No_PS
LOC6538791	3R	28478105	28483148	Rox8	0.396418853321286	0.0420903591195778	0.0412435654718132	PS_spill_Dsan
LOC6539098	X	23170278	23175278	CG17162	0.444163425890758	0.0306345733041575	0.0304945785677405	PS_independent
LOC6539104	X	23168819	23173820	CG17169	0.444163425890758	0.0306345733041575	0.0304945785677405	PS_spill_Dyak
LOC6539157	2L	23349421	23360879	IntS3	0.881014439932086	0.0006435834727764	0.0004068029978251	PS_unique_Dyak
LOC6539986	X	10697940	10702940	CG9911	0.85971065759065	0.0023169005019951	0.0030353762145416	PS_spill_Dsan
LOC6539987	X	10701813	10708155	CG3632	0.373210320871087	0.0487836272364525	0.0490197612379328	PS_spill_Dsan
