gene_id	chr	start	end	gene	san:yak-allo:tei_pbs	san:yak-allo:tei_pval_ortho	san:yak-allo:tei_pval_bs	paml_ps_scenario
LOC120321193	X	1357306	1362307	CG14795	0.8464568043953	0.0430655244269506	0.0481505102040816	No_PS
LOC120321699	3R	19392513	19397513	CG46303	0.871513961372253	0.0192174114378328	0.0167587868480725	PS_unique_Dyak
LOC26535668	X	12133164	12138165	Rpp20	0.856143503054145	0.0384348228756656	0.0426232993197278	No_PS
LOC26536068	3R	7783659	7801354	SIFaR	0.862135113847053	0.0328779810141236	0.0359268707482993	PS_spill_Dsan
LOC26536235	3L	3821111	3826112	nSMase	0.871513961372253	0.0192174114378328	0.0167587868480725	No_PS
LOC26536290	3L	19205134	19210403	CG33288	0.863564519760005	0.0289418846955313	0.0325963718820861	No_PS
LOC6523879	X	896203	914278	CG42259	0.862135113847053	0.0328779810141236	0.0359268707482993	No_PS
LOC6523880	X	899812	904812	CG14629	0.862135113847053	0.0328779810141236	0.0359268707482993	PS_independent
LOC6524039	X	2494472	2499473	RpL7A	0.871513961372253	0.0192174114378328	0.0167587868480725	PS_ancestral
LOC6524041	X	2498644	2503644	dx	0.871513961372253	0.0192174114378328	0.0167587868480725	No_PS
LOC6524061	X	2647938	2652938	CG14440	0.88046714365332	0.00926140310257	0.0023738662131519	PS_spill_Dsan
LOC6524070	X	2701237	2709461	CG14439	0.870540310169177	0.0252373234545033	0.0228528911564625	PS_spill
LOC6524115	X	2965935	2976180	AdamTS-B	0.854222378668567	0.0395924982634869	0.0427650226757369	No_PS
LOC6524862	X	10108395	10113396	CG9281	0.88046714365332	0.00926140310257	0.0023738662131519	PS_unique_Dyak
LOC6524949	X	10713633	10718633	CG9915	0.870540310169177	0.0252373234545033	0.0228528911564625	No_PS
LOC6524992	X	11017893	11022893	RpS19a	0.870540310169177	0.0252373234545033	0.0228528911564625	No_PS
LOC6524993	X	11019573	11024574	SNRPG	0.870540310169177	0.0252373234545033	0.0228528911564625	No_PS
LOC6525136	X	12135450	12140450	CG18809	0.856143503054145	0.0384348228756656	0.0426232993197278	No_PS
LOC6525137	X	12135500	12140500	COX6B	0.856143503054145	0.0384348228756656	0.0426232993197278	No_PS
LOC6525167	X	12251899	12256900	Pstk	0.856143503054145	0.0384348228756656	0.0426232993197278	No_PS
LOC6525168	X	12252691	12257692	CG14210	0.856143503054145	0.0384348228756656	0.0426232993197278	PS_independent
LOC6525170	X	12256094	12261094	Tyler	0.856143503054145	0.0384348228756656	0.0426232993197278	PS_unique_Dyak
LOC6525191	X	12381495	12387771	pcm	0.88046714365332	0.00926140310257	0.0023738662131519	No_PS
LOC6525279	X	13180188	13185189	Ppt1	0.856143503054145	0.0384348228756656	0.0426232993197278	PS_spill_Dsan
LOC6525280	X	13183450	13190601	CAH3	0.856143503054145	0.0384348228756656	0.0426232993197278	PS_spill_Dsan
LOC6525720	X	16901109	16906109	CG15814	0.870540310169177	0.0252373234545033	0.0228528911564625	PS_spill_Dsan
LOC6526060	X	19929623	19934624	CG17068	0.88046714365332	0.00926140310257	0.0023738662131519	PS_spill_Dsan
LOC6526295	2L	400173	405174	Ent1	0.879868477709386	0.0143551748089835	0.0164753401360544	PS_spill_Dsan
LOC6526797	2L	4269809	4274810	Or24a	0.88046714365332	0.00926140310257	0.0023738662131519	PS_spill_Dsan
LOC6527990	2L	13055200	13060200	CG5676	0.88046714365332	0.00926140310257	0.0023738662131519	PS_spill
LOC6527991	2L	13058694	13063695	Pten	0.88046714365332	0.00926140310257	0.0023738662131519	No_PS
LOC6528494	2L	16607051	16612051	Cul1	0.862135113847053	0.0328779810141236	0.0359268707482993	No_PS
LOC6528495	2L	16609727	16614728	Or43b	0.862135113847053	0.0328779810141236	0.0359268707482993	No_PS
LOC6528876	2L	18831834	18836835	CG18011	0.8464568043953	0.0430655244269506	0.0481505102040816	PS_spill_Dsan
LOC6529082	2L	20764922	20769923	Tbce	0.862135113847053	0.0328779810141236	0.0359268707482993	PS_unique_Dyak
LOC6529556	2R	7220091	7228379	kel	0.870540310169177	0.0252373234545033	0.0228528911564625	PS_spill_Dsan
LOC6529583	2R	7614816	7619817	Ugt301D1	0.870540310169177	0.0252373234545033	0.0228528911564625	No_PS
LOC6529879	2R	9659774	9665710	RN-tre	0.88046714365332	0.00926140310257	0.0023738662131519	PS_spill_Dsan
LOC6530819	2R	15636916	15644799	CG13868	0.856143503054145	0.0384348228756656	0.0426232993197278	No_PS
LOC6531080	2R	17517617	17522618	CG5189	0.851997106201987	0.0402871034961796	0.0451034580498866	PS_spill
LOC6531081	2R	17521376	17526377	slim	0.851997106201987	0.0402871034961796	0.0451034580498866	No_PS
LOC6531850	2R	22082495	22088309	pita	0.88046714365332	0.00926140310257	0.0023738662131519	PS_spill_Dsan
LOC6531851	2R	22083584	22088584	Dcp-1	0.88046714365332	0.00926140310257	0.0023738662131519	No_PS
LOC6531935	2R	22505405	22510406	CG3803	0.871513961372253	0.0192174114378328	0.0167587868480725	PS_spill
LOC6533100	3L	6396721	6403657	scny	0.870540310169177	0.0252373234545033	0.0228528911564625	No_PS
LOC6533654	3L	11167236	11172236	Mocs1	0.862135113847053	0.0328779810141236	0.0359268707482993	PS_spill_Dsan
LOC6533656	3L	11169235	11174235	Pfdn2	0.862135113847053	0.0328779810141236	0.0359268707482993	PS_ancestral
LOC6534276	3L	16322974	16327975	CG5567	0.848910442538724	0.0412132438064366	0.0458475056689342	No_PS
LOC6534277	3L	16324863	16329863	CG5577	0.848910442538724	0.0412132438064366	0.0458475056689342	No_PS
LOC6534506	3L	18203954	18208955	CG12301	0.88046714365332	0.00926140310257	0.0023738662131519	PS_unique_Dsan
LOC6534654	3L	19205228	19217894	barc	0.863564519760005	0.0289418846955313	0.0325963718820861	No_PS
LOC6534856	3L	20546669	20566016	kug	0.875777375050631	0.0145867098865478	0.0166524943310657	No_PS
LOC6535408	3R	3748727	3754551	PEK	0.88046714365332	0.00926140310257	0.0023738662131519	PS_unique_Dyak
LOC6535428	3R	3953236	3958236	CG5823	0.879868477709386	0.0143551748089835	0.0164753401360544	No_PS
LOC6535826	3R	7128614	7137800	Lrrk	0.88046714365332	0.00926140310257	0.0023738662131519	No_PS
LOC6536179	3R	9900447	9905448	CG9636	0.870540310169177	0.0252373234545033	0.0228528911564625	PS_unique_Dyak
LOC6536604	3R	12845279	12850280	CG4820	0.862135113847053	0.0328779810141236	0.0359268707482993	No_PS
LOC6536879	3R	14790136	14795136	d-cup	0.863564519760005	0.0289418846955313	0.0325963718820861	No_PS
LOC6536983	3R	15567730	15572730	Rbp4	0.870540310169177	0.0252373234545033	0.0228528911564625	No_PS
LOC6537195	3R	17046546	17051546	Surf4	0.862135113847053	0.0328779810141236	0.0359268707482993	No_PS
LOC6537726	3R	20846966	20852162	PyK	0.871513961372253	0.0192174114378328	0.0167587868480725	PS_ancestral
LOC6538334	3R	25544794	25549794	Tsp97E	0.870540310169177	0.0252373234545033	0.0228528911564625	No_PS
LOC6538788	3R	28471512	28476513	Pisd	0.871513961372253	0.0192174114378328	0.0167587868480725	No_PS
LOC6539039	3R	30354943	30359943	CG1896	0.879868477709386	0.0143551748089835	0.0164753401360544	No_PS
LOC6539040	3R	30355783	30360784	awd	0.879868477709386	0.0143551748089835	0.0164753401360544	No_PS
LOC6539041	3R	30357138	30362138	nero	0.879868477709386	0.0143551748089835	0.0164753401360544	PS_spill_Dsan
LOC6539157	2L	23349421	23360879	IntS3	0.881014439932086	0.0016207455429497	0.0023738662131519	PS_unique_Dyak
LOC6539219	2R	7709436	7714437	CG31789	0.8464568043953	0.0430655244269506	0.0481505102040816	PS_spill
LOC6539552	3L	18201513	18206513	mrn	0.88046714365332	0.00926140310257	0.0023738662131519	PS_spill_Dsan
LOC6539780	3L	19437892	19442892	AsnS	0.862135113847053	0.0328779810141236	0.0359268707482993	No_PS
