gene_id	chr	start	end	gene	san:yak:tei_pbs	san:yak:tei_pval_ortho	san:yak:tei_pval_bs	san:yak-symp:yak-allo_pbs	san:yak-symp:yak-allo_pval_ortho	san:yak-symp:yak-allo_pval_bs	san:yak-symp:tei_pbs	san:yak-symp:tei_pval_ortho	san:yak-symp:tei_pval_bs	san:yak-allo:tei_pbs	san:yak-allo:tei_pval_ortho	san:yak-allo:tei_pval_bs	yak-symp:yak-allo:tei_pbs	yak-symp:yak-allo:tei_pval_ortho	yak-symp:yak-allo:tei_pval_bs
LOC120444045	2L	20381	32419	l_2_gl		0.0	0.0	0.267787067155297	0.11900464156781847	0.12405154763338552		0.0	0.0		0.0	0.0	-0.055532915129907	0.9289020313705323	0.9229085457271364
LOC120445319	2L	36263	67161	Cda5	0.739456058693349	0.05025231286795626	0.058414063001218965	0.276007276553741	0.1089479112944817	0.11622305190894858	0.739456058693349	0.052108108108108106	0.06174318030605456	0.739456058693349	0.06498027384543978	0.07026357943789137	-0.038092932668209	0.8657752635638982	0.8330284857571214
LOC120454547	2L	73205	78205	dbr		0.0	0.0	0.208650159984252	0.22202166064981949	0.20867457545465495		0.0	0.0		0.0	0.0	-0.077177377808581	0.9538441758806891	0.9513793103448276
LOC120454459	2L	78882	83883	galectin		0.0	0.0	0.116216162415554	0.5667870036101083	0.4886185716006263		0.0	0.0		0.0	0.0	-0.025492080196348	0.7793777320647981	0.7437331334332834
LOC120454483	2L	81941	86942	CG11374	0.048125727299241	0.5859966358284272	0.5325271059216014	0.166051220293965	0.35146982980918	0.3065006624111767	0.048287991087404	0.580972972972973	0.5302395209580838	0.047050032797195	0.5813413785100952	0.5299621377603029	-0.048529547300133	0.9114168166623811	0.8995352323838081
LOC120458112	2L	90100	95560	net	-0.295862980266347	0.9356602186711522	0.9226919869121704	0.211855567867129	0.21325425477050025	0.2017794772973624	-0.301485582568724	0.9316756756756757	0.9181969394544245	-0.288787972780085	0.9120445579020654	0.8952235328382118	0.061734510773948	0.053098482900488554	0.0620839580209895
LOC120448136	2L	103019	110482	Zir	0.316652890918859	0.25946173254835997	0.2629114005260794	0.181766779978894	0.2943527591542032	0.26621401902926656	0.306842913565848	0.2668108108108108	0.26949434464404526	0.322034114601696	0.2726850777442562	0.2777777777777778	0.046996911294524	0.07971200822833634	0.08893553223388306
LOC120451642	2L	109051	114052	CG11377	0.410142888842333	0.19280908326324642	0.2120035927375377	0.161140299451782	0.369778236204229	0.3230458870287848	0.452753288004579	0.16864864864864865	0.18762475049900199		0.0	0.0	-0.018709964124671	0.7068655181280535	0.6731334332833583
LOC120451633	2L	111205	116205	Nhe1	0.410142888842333	0.19280908326324642	0.2120035927375377	0.236276677920556	0.16361526560082518	0.16382632783331327	0.452753288004579	0.16864864864864865	0.18762475049900199		0.0	0.0	-0.001868163999025	0.47068655181280533	0.45065967016491754
LOC120449522	2L	116010	122593	Sam-S	0.0	0.785744322960471	0.7616603579906333	0.130465909105082	0.5051572975760701	0.4338793207274479	0.0	0.7779459459459459	0.7522621423819028		0.0	0.0	0.046745451387333	0.08074055026999229	0.0897151424287856
LOC120458407	2L	122069	127069	CG13694		0.0	0.0	0.182942988664739	0.29061371841155237	0.2633987715283632		0.0	0.0		0.0	0.0	-0.042010813262441	0.8841604525584983	0.8617691154422789
LOC120458406	2L	125026	130026	CG4822		0.0	0.0	0.160786710895773	0.37068076328004124	0.3239642297964591		0.0	0.0		0.0	0.0	-0.016174512544963	0.675623553612754	0.6397151424287856
LOC120451238	2L	131186	137734	CG3164		0.0	0.0	0.317211707466806	0.07555440948942754	0.08573708298205468		0.0	0.0		0.0	0.0	0.126086280271873	0.016199537156081256	0.020854572713643178
LOC120443932	2L	144761	149762	ovm		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC120443927	2L	146147	151147	CG31975		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC120443926	2L	147754	152754	CG31974		0.0	0.0	0.064747731561859	0.8073749355337803	0.7437221486209804		0.0	0.0		0.0	0.0	0.026568868584621	0.15620982257649782	0.16671664167916042
LOC120443929	2L	149816	154817	CG11454		0.0	0.0	0.080456338825497	0.7381382155750387	0.6689299048536673		0.0	0.0		0.0	0.0	0.023798978125568	0.17498071483671895	0.18340329835082458
LOC120443924	2L	153012	162173	CG42399		0.0	0.0	0.05887376163821	0.8332903558535327	0.7795676261592196		0.0	0.0		0.0	0.0	0.014942688597361	0.23965029570583699	0.24403298350824587
LOC120443925	2L	160513	165514	CG3709		0.0	0.0	0.180828413029958	0.2979628674574523	0.2684722389497772		0.0	0.0		0.0	0.0	-0.043982453386605	0.8934173309334019	0.8722338830584707
LOC120443933	2L	161670	166671	ND-15		0.0	0.0	0.103821491082494	0.6254512635379061	0.5475430567264844		0.0	0.0		0.0	0.0	-0.035398511260818	0.8556184109025456	0.8214392803598201
LOC120443928	2L	163071	168071	CG3436		0.0	0.0	0.02681456913503	0.9568076328004126	0.9369504998193424		0.0	0.0		0.0	0.0	-0.02681456913503	0.7901774235021857	0.7564767616191904
LOC120443930	2L	164438	169438	CG33635		0.0	0.0	0.141545605003401	0.4508767405879319	0.39079248464410454		0.0	0.0		0.0	0.0	-0.033563646262067	0.8405759835433273	0.805352323838081
