gene_id	chr	start	end	gene	san:yak-symp:tei_pbs	san:yak-symp:tei_pval_ortho	san:yak-symp:tei_pval_bs	paml_ps_scenario
LOC120321193	X	1357306	1362307	CG14795	0.876716558890441	0.0178763730346758	0.0133467232498623	No_PS
LOC120321422	3L	20983004	20988005	CG46434	0.835102585533766	0.0409218177902218	0.0455473128381223	No_PS
LOC26534963	3L	17599560	17604561	CG43206	0.835505293873431	0.0407064398018522	0.0452233632446791	PS_spill_Dsan
LOC26535668	X	12133164	12138165	Rpp20	0.858603507965411	0.0323066982554383	0.0350189510512164	No_PS
LOC26536068	3R	7783659	7801354	SIFaR	0.876230226623254	0.0189532629765237	0.0208947487770902	PS_spill_Dsan
LOC6523879	X	896203	914278	CG42259	0.862135113847053	0.0295067844066336	0.032492144222359	No_PS
LOC6523880	X	899812	904812	CG14629	0.862135113847053	0.0295067844066336	0.032492144222359	PS_independent
LOC6524039	X	2494472	2499473	RpL7A	0.876716558890441	0.0178763730346758	0.0133467232498623	PS_ancestral
LOC6524041	X	2498644	2503644	dx	0.876716558890441	0.0178763730346758	0.0133467232498623	No_PS
LOC6524061	X	2647938	2652938	CG14440	0.88046714365332	0.007322851604566	0.005474748129191	PS_spill_Dsan
LOC6524115	X	2965935	2976180	AdamTS-B	0.854222378668567	0.034029722162395	0.0367034889371213	No_PS
LOC6524635	X	7990780	7995780	Tango2	0.876716558890441	0.0178763730346758	0.0133467232498623	PS_spill_Dsan
LOC6524949	X	10713633	10718633	CG9915	0.876716558890441	0.0178763730346758	0.0133467232498623	No_PS
LOC6524967	X	10785427	10793483	mei-41	0.837589277042617	0.0396295498600043	0.0439923547895947	No_PS
LOC6524992	X	11017893	11022893	RpS19a	0.870847695033968	0.0221839328020676	0.0241666396708672	No_PS
LOC6524993	X	11019573	11024574	SNRPG	0.867820610225937	0.0251992246392418	0.0284103793449739	No_PS
LOC6525136	X	12135450	12140450	CG18809	0.858603507965411	0.0323066982554383	0.0350189510512164	No_PS
LOC6525137	X	12135500	12140500	COX6B	0.858603507965411	0.0323066982554383	0.0350189510512164	No_PS
LOC6525180	X	12307022	12312022	car	0.838858538061671	0.0379065259530475	0.042826136253199	PS_spill_Dsan
LOC6525720	X	16901109	16906109	CG15814	0.848411215839289	0.0361835020460908	0.0390683209692571	PS_spill_Dsan
LOC6526280	2L	328314	333315	smo	0.854222378668567	0.034029722162395	0.0367034889371213	No_PS
LOC6526281	2L	330749	335750	CG11601	0.854222378668567	0.034029722162395	0.0367034889371213	No_PS
LOC6526295	2L	400173	405174	Ent1	0.879868477709386	0.0114150333835881	0.013217143412485	PS_spill_Dsan
LOC6526316	2L	583486	588487	lwr	0.883893814665138	0.003661425802283	0.0048592439016489	No_PS
LOC6526317	2L	585233	590234	Spp	0.883893814665138	0.003661425802283	0.0048592439016489	No_PS
LOC6526797	2L	4269809	4274810	Or24a	0.88046714365332	0.007322851604566	0.005474748129191	PS_spill_Dsan
LOC6527130	2L	6901006	6914873	Kr-h1	0.854793666756871	0.032952832220547	0.0359584048722018	No_PS
LOC6527296	2L	8289585	8294586	CG14932	0.851370303475266	0.0359681240577213	0.0387443713758139	PS_spill_Dsan
LOC6528494	2L	16607051	16612051	Cul1	0.883561755843136	0.0043075597673917	0.0054423531698467	No_PS
LOC6528495	2L	16609727	16614728	Or43b	0.883561755843136	0.0043075597673917	0.0054423531698467	No_PS
LOC6528876	2L	18831834	18836835	CG18011	0.8464568043953	0.0372603919879388	0.0403965143023745	PS_spill_Dsan
LOC6529082	2L	20764922	20769923	Tbce	0.862135113847053	0.0295067844066336	0.032492144222359	PS_unique_Dyak
LOC6529556	2R	7220091	7228379	kel	0.870540310169177	0.0230454447555459	0.0241666396708672	PS_spill_Dsan
LOC6529879	2R	9659774	9665710	RN-tre	0.88046714365332	0.007322851604566	0.005474748129191	PS_spill_Dsan
