gene_id	chr	start	end	gene	san:yak-allo:tei_pbs	san:yak-allo:tei_pval_ortho	san:yak-allo:tei_pval_bs	paml_ps_scenario
LOC120444345	2R	8566874	8572785	RN-tre	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_spill_Dsan
LOC120444655	2R	21319094	21324094	CG3803	0.871513961372253	0.0129960547690879	0.0088466579292267	PS_spill
LOC120444911	2R	14373322	14378323	CG5189	0.851997106201987	0.029009050823857	0.0296344837629241	PS_spill
LOC120445402	2R	14377058	14382059	slim	0.851997106201987	0.029009050823857	0.0296344837629241	No_PS
LOC120445672	2R	20916729	20922850	pita	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_spill_Dsan
LOC120445677	2R	20918170	20923170	Dcp-1	0.88046714365332	0.0078904618240891	0.0019295179845638	No_PS
LOC120445785	2R	6623700	6628701	CG31789	0.8464568043953	0.0324901369227198	0.0325105577399155	PS_spill
LOC120445889	2R	12503258	12508259	CG13868	0.856143503054145	0.0248317475052216	0.0275229357798165	No_PS
LOC120446278	2R	6529859	6534859	Ugt301D1	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120447046	2R	6140327	6148389	kel	0.870540310169177	0.0183337201206776	0.0126692878986456	PS_spill_Dsan
LOC120448035	3L	18243675	18248675	CG12301	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_unique_Dsan
LOC120448037	3L	18241192	18246192	mrn	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_spill_Dsan
LOC120448688	2L	24576096	24589864	IntS3	0.881014439932086	0.0016245068461359	0.0019295179845638	PS_unique_Dyak
LOC120448944	3L	3818110	3823110	nSMase	0.871513961372253	0.0129960547690879	0.0088466579292267	No_PS
LOC120449028	3L	11240903	11245903	Mocs1	0.854222378668567	0.027384543977721	0.027886995776904	PS_spill_Dsan
LOC120449029	3L	11242907	11247907	Pfdn2	0.854222378668567	0.027384543977721	0.027886995776904	PS_ancestral
LOC120449298	3L	19449004	19454004	AsnS	0.862135113847053	0.0218148062195404	0.0241735838066113	No_PS
LOC120449614	3L	20566239	20584443	kug	0.881014439932086	0.0016245068461359	0.0019295179845638	No_PS
LOC120450030	3L	6429823	6436800	scny	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120450572	3L	19215128	19220129	CG33288	0.863564519760005	0.0197261545602227	0.0216251638269986	No_PS
LOC120450574	3L	19215247	19227584	barc	0.859854011407075	0.0229751682524947	0.0250109217999126	No_PS
LOC120450598	3L	16387705	16392705	CG5577	0.8464568043953	0.0324901369227198	0.0325105577399155	No_PS
LOC120450600	3L	16385811	16390812	CG5567	0.8464568043953	0.0324901369227198	0.0325105577399155	No_PS
LOC120451279	3R	19064084	19069274	PyK	0.871513961372253	0.0129960547690879	0.0088466579292267	PS_ancestral
LOC120451628	3R	2001322	2007329	PEK	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_unique_Dyak
LOC120451953	3R	15281382	15286382	Surf4	0.863564519760005	0.0197261545602227	0.0216251638269986	No_PS
LOC120452058	3R	12996430	13001430	d-cup	0.863564519760005	0.0197261545602227	0.0216251638269986	No_PS
LOC120452466	3R	5340663	5349838	Lrrk	0.881014439932086	0.0016245068461359	0.0019295179845638	No_PS
LOC120452625	3R	26675726	26680726	Pisd	0.871513961372253	0.0129960547690879	0.0088466579292267	No_PS
LOC120452725	3R	23743047	23748047	Tsp97E	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120452734	3R	28553943	28558943	nero	0.870540310169177	0.0183337201206776	0.0126692878986456	PS_spill_Dsan
LOC120452736	3R	28552011	28557012	CG1896	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120452737	3R	28552805	28557806	awd	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120453062	3R	2209729	2214729	CG5823	0.879868477709386	0.0095149686702251	0.0087010339303917	No_PS
LOC120453180	3R	5993365	6011048	SIFaR	0.862135113847053	0.0218148062195404	0.0241735838066113	PS_spill_Dsan
