gene_id	chr	start	end	gene	san:yak-symp:yak-allo_pbs	san:yak-symp:yak-allo_pval_ortho	san:yak-symp:yak-allo_pval_bs	paml_ps_scenario
LOC120443770	2L	13363732	13372915	lid	0.53683217957511	0.0154718927282104	0.0232747199807298	PS_ancestral
LOC120443832	2L	16497738	16538836	CG46385	0.62363736795474	0.009927797833935	0.0119384559797663	PS_ancestral
LOC120443908	2L	578734	583734	Sf3b1	0.452558910321892	0.0259154203197524	0.0372305190894857	No_PS
LOC120443966	2L	16886229	16906087	Lpin	0.471200119281388	0.0217895822588963	0.031163434903047	No_PS
LOC120444060	2L	19829074	19837949	Gli	0.731179030781799	0.0043837029396596	0.0054498374081657	No_PS
LOC120444500	2R	21967300	21972301	CG4707	0.412548926726929	0.0341670964414646	0.0476936047211851	PS_ancestral
LOC120444514	2R	5884275	5889275	VhaSFD	0.691821092529613	0.0069623517276946	0.0079940985186077	No_PS
LOC120444515	2R	5888402	5893402	Cyt-c-p	0.691821092529613	0.0069623517276946	0.0079940985186077	PS_spill
LOC120444521	2R	4289025	4294026	CG17765	0.626082936680105	0.0097988653945332	0.0118481271829459	PS_independent
LOC120445324	2R	6666432	6671432	Cyp310a1	0.448015074292838	0.0273336771531717	0.0393984102131759	PS_spill_Dsan
LOC120445452	2R	22329835	22334836	CG2736	0.592130154307545	0.0117328519855595	0.0155214982536432	No_PS
LOC120445970	2R	20308659	20313659	CG9849	0.50956270760411	0.0177926766374419	0.0252770083102493	No_PS
LOC120446137	2R	5853393	5858394	yellow-b	0.547844479975864	0.0146982980917998	0.0223413224135854	No_PS
LOC120446138	2R	5850338	5855338	ppk17	0.547844479975864	0.0146982980917998	0.0223413224135854	PS_spill_Dsan
LOC120446147	2R	5007422	5012423	Oli	0.692819771357601	0.0064466219700876	0.0077833313260267	PS_spill_Dyak
LOC120446148	2R	5006289	5011290	CG6870	0.692819771357601	0.0064466219700876	0.0077833313260267	PS_ancestral
LOC120446245	2R	5623924	5644223	beat-IIIb	0.502909997696101	0.0179216090768437	0.0276105022281103	No_PS
LOC120446292	2L	568066	573066	Tspo	0.466976042748773	0.0225631768953068	0.0320817776707214	PS_unique_Dyak
LOC120446556	2R	7062365	7067365	Ttc19	0.410493704128558	0.0345538937596699	0.0493496326628929	No_PS
LOC120446628	2R	17643284	17648285	CG10265	0.628312276761938	0.0096699329551315	0.0114717571961941	No_PS
LOC120446679	2R	10214461	10219461	CG8490	0.48176917258499	0.0199845281072717	0.0295977357581597	PS_unique_Dyak
LOC120446887	2R	21521473	21526474	spag	0.428086647305989	0.0312016503352243	0.044291220040949	PS_spill_Dsan
LOC120447074	2R	9640623	9645624	CG13319	0.693463207877871	0.0061887570912841	0.0075575093339756	PS_spill_Dsan
LOC120447147	2R	9333604	9338986	Dp	0.590644706979435	0.0121196493037648	0.0158376490425147	No_PS
LOC120447148	2R	9329577	9334578	Pex13	0.430224325685412	0.0306859205776173	0.0441707816451884	PS_independent
LOC120447222	2R	3868377	3873378	cag	0.488834114298997	0.0194687983496647	0.0288600505841262	No_PS
LOC120447671	3L	6822725	6830996	Lcp65Ac	0.66077278461714	0.0083806085611139	0.0099060580513067	No_PS
LOC120447681	3L	9436171	9441171	CG14949	0.576636025554955	0.0134089736977823	0.0184571841503071	No_PS
LOC120447784	3L	17511435	17516436	Dbp73D	0.689302994665876	0.0070912841670964	0.008069372515958	PS_unique_Dyak
LOC120447807	3L	3795331	3800332	CG14966	0.407192152793121	0.0350696235172769	0.0497862218475249	PS_spill
LOC120448300	3L	20920656	20925657	CG9372	0.522363750292374	0.0161165549252191	0.0244640491388654	No_PS
LOC120448412	3L	16888250	16894393	Mip	0.743253579196182	0.0037390407426508	0.0049680838251234	PS_spill_Dsan
LOC120448440	2L	17689548	17694548	AIMP1	0.419789916923533	0.0324909747292418	0.0459321931831868	PS_independent
LOC120448449	2L	17688204	17693205	CG8237	0.449067561715105	0.0270758122743682	0.0382391906539804	PS_unique_Dsan
LOC120448544	3L	11457410	11465810	CG6175	0.55173841858487	0.0144404332129963	0.0221305552210044	No_PS
LOC120448688	2L	24576096	24589864	IntS3	0.881014439932086	0.001031459515214	0.0009635071660845	PS_unique_Dyak
LOC120448744	3L	13334700	13339700	CG17300	0.45099582462621	0.0265600825167612	0.037727327471998	No_PS
LOC120448945	3L	3820073	3825073	RpL28	0.871513961372253	0.0024497163486333	0.00213778152475	PS_unique_Dyak
LOC120449234	3L	5788230	5793231	Prpk	0.512988109269676	0.0172769468798349	0.0250963507166084	No_PS
LOC120449246	2L	6285714	6290714	homer	0.516855434579519	0.0166322846828262	0.0248103095266771	No_PS
LOC120449255	2L	6289179	6294180	Aatf	0.516855434579519	0.0166322846828262	0.0248103095266771	PS_spill_Dsan
LOC120449318	3L	261965	266966	mthl14	0.554879476368472	0.0140536358947911	0.0219348428278935	No_PS
LOC120449426	3L	4265007	4270007	CG10862	0.664635826354323	0.0079938112429087	0.009755510056606	PS_spill
LOC120449687	3L	3822062	3827063	eIF1	0.871513961372253	0.0024497163486333	0.00213778152475	No_PS
LOC120450160	3L	9021048	9026048	CG1271	0.881014439932086	0.001031459515214	0.0009635071660845	PS_spill
LOC120450531	2L	13834339	13839340	Lam	0.487736616460801	0.0195977307890665	0.0289804889798867	PS_spill_Dsan
LOC120450938	3R	5816611	5821611	CG7044	0.558700755895979	0.0137957710159876	0.0215885824400818	No_PS
LOC120451032	3R	2013934	2018934	HDAC3	0.475715717018527	0.0211449200618875	0.0304709141274238	PS_unique_Dyak
LOC120451035	3R	2012196	2017196	Snr1	0.475715717018527	0.0211449200618875	0.0304709141274238	No_PS
LOC120451037	3R	2014912	2019913	CG45100	0.475715717018527	0.0211449200618875	0.0304709141274238	PS_ancestral
LOC120451207	3R	17583352	17589202	kat-60L1	0.430113752234028	0.030814853017019	0.0441707816451884	PS_ancestral
LOC120451279	3R	19064084	19069274	PyK	0.670090014621337	0.0077359463641052	0.0093189208719739	PS_ancestral
LOC120451422	3R	23560450	23565451	grass	0.40693049947911	0.0353274883960804	0.0499367698422257	No_PS
LOC120451841	2L	551804	556804	Spp	0.88381528063324	0.0006446621970087	0.000436589184632	No_PS
LOC120451872	3R	11537155	11542155	CG3534	0.436541772753925	0.029267663744198	0.0417168493315669	PS_unique_Dsan
LOC120452182	3R	5562331	5567332	RpS30	0.526036170439125	0.0157297576070139	0.0243135011441647	PS_unique_Dyak
LOC120452183	3R	5564917	5569918	Ir93a	0.581036946766941	0.0128932439401753	0.0181259785619655	PS_spill_Dsan
LOC120452546	3R	8164411	8169411	Coq2	0.493409718977898	0.0185662712738525	0.0281675298085029	No_PS
LOC120452624	3R	26682396	26687421	Rox8	0.440016867597042	0.0288808664259927	0.0407683969649524	PS_spill_Dsan
LOC120452627	3R	26677976	26682977	Atg6	0.472489240790111	0.0216606498194945	0.0311182705046368	No_PS
LOC120452628	3R	26679311	26684311	CG5986	0.521075496921021	0.0162454873646209	0.0245543779356858	No_PS
