gene_id	chr	start	end	gene	san:yak:tei_pbs	san:yak:tei_pval_ortho	san:yak:tei_pval_bs	san:yak-symp:yak-allo_pbs	san:yak-symp:yak-allo_pval_ortho	san:yak-symp:yak-allo_pval_bs	san:yak-symp:tei_pbs	san:yak-symp:tei_pval_ortho	san:yak-symp:tei_pval_bs	san:yak-allo:tei_pbs	san:yak-allo:tei_pval_ortho	san:yak-allo:tei_pval_bs	yak-symp:yak-allo:tei_pbs	yak-symp:yak-allo:tei_pval_ortho	yak-symp:yak-allo:tei_pval_bs
LOC6526086	X	20088966	20093966	Obp19d		0.0	0.0	0.132848774776377	0.4581027159222551	0.38946693161015755		0.0	0.0		0.0	0.0	-0.00069307326793	0.4751090582499358	0.4429557387009831
LOC6526483	2L	2035263	2040264	Obp22a	0.073050917145475	0.5835245046923879	0.5426523297491039	0.15781658937311	0.3524263096923671	0.30333421995525167	0.075193077372869	0.5785052767607151	0.5403479218633581	0.13884047559728	0.4846029173419773	0.4580144557823129	-0.014135305054905	0.672440338722094	0.6350351317244926
LOC6528542	2L	16815862	16820862	Obp44a		0.0	0.0	0.25511562629728	0.1258849272750676	0.1202728709339258		0.0	0.0		0.0	0.0	-0.012826100318436	0.6534513728509109	0.6184897253337903
LOC6528896	2L	18993541	18998542	Obp46a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6529286	2R	4519532	4524533	Obp47b		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6529339	2R	4897529	4902529	Obp47a		0.0	0.0	0.260784152192736	0.12009267602007981	0.11413953342825403		0.0	0.0		0.0	0.0	0.038942081453705	0.11098280728765718	0.11062987832427126
LOC6530791	2R	15387800	15392800	Obp57d		0.0	0.0	0.151943358693915	0.37675376496331575	0.3213274294744418		0.0	0.0		0.0	0.0	-0.026123306886942	0.800487554529125	0.7646408151183262
LOC6530792	2R	15388703	15393704	Obp57e		0.0	0.0	0.196417586324616	0.23181876689406616	0.20271306307011094		0.0	0.0		0.0	0.0	-0.028657517248652	0.8208878624583013	0.7875114898655491
LOC6530803	2R	15431734	15436735	Obp57a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6530804	2R	15432596	15437596	Obp57b		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6530805	2R	15433287	15438287	Obp57c		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6530898	2R	16252960	16257960	Obp56a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6533879	3L	12532111	12537111	Obp69a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6534381	3L	17234665	17239665	Obp73a		0.0	0.0	0.07195809545933	0.7583987643197323	0.6833351587314005		0.0	0.0		0.0	0.0	-0.00084628872803	0.4765204003079292	0.4449654914546559
LOC6535896	3R	7637764	7642764	Obp93a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6536064	3R	9081200	9086201	Obp84a	0.217965902102028	0.42043795620437957	0.3947015739442107	0.093943508792345	0.6453855065001931	0.5635942609484769	0.221695752933777	0.4197716993323282	0.3955100586348764	0.21262572129926	0.42718221810604307	0.40486819727891155	-0.017727055509463	0.7119579163459071	0.6709146711951018
LOC26536206	3R	10074815	10080200	Obp85a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6538027	3R	22774947	22779947	Obp99c	0.182509852743378	0.45901981230448385	0.4263362942184822	0.236442594174372	0.15240056635345603	0.14019057155821193	0.148506667243464	0.4891234115873358	0.4580323301694256	0.245283118831696	0.3959249826348692	0.3808815192743764	0.036272361213117	0.11970746728252502	0.1232959945160235
LOC6523788	X	178561	183562	Or1a	0.465446783805917	0.19833159541188738	0.2096306685366994	0.095625173482913	0.6372763547432102	0.5541439143836152	0.510006232615341	0.18048675425371527	0.18500761281544592		0.0	0.0	-0.139483997986262	0.985373364126251	0.9808216617071993
LOC6524424	X	6314474	6319474	Or2a		0.0	0.0	0.08000273136548	0.7193976058694813	0.6417317290692034		0.0	0.0		0.0	0.0	-0.012332347001297	0.6461380549140364	0.6115256983501332
LOC6526597	2L	2705441	2710441	Or23a	0.177455273715632	0.46506777893639206	0.43151005142589993	0.116432018545664	0.5359763161282018	0.456026160562014	0.251875148270669	0.38940340297221626	0.372120897988273	0.049461000762762	0.6068534382959019	0.5716057256235828	0.003289362454949	0.4083910700538876	0.38199323850623956
LOC6526797	2L	4269809	4274810	Or24a	0.88046714365332	0.01167883211678832	0.009256661991584854	0.26711432729516	0.1145578581542026	0.10739599142584451	0.88046714365332	0.007322851604566014	0.005474748129191098	0.88046714365332	0.009261403102570039	0.0023738662131519276	-0.052797095159062	0.9259686938670773	0.9210899403305965
LOC6527831	2L	11888840	11893841	Or30a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6528495	2L	16609727	16614728	Or43b	0.871882125236995	0.023983315954118872	0.02427925822035219	0.49149517941049	0.0214956879907324	0.021419742462409838	0.883561755843136	0.004307559767391772	0.005442353169846772	0.862135113847053	0.03287798101412364	0.03592687074829932	0.057921923200818	0.06556325378496279	0.0642809291601103
LOC6528745	2L	18030016	18041182	Or45a	0.88046714365332	0.01167883211678832	0.009256661991584854	0.0	0.999098983138113	0.9982163253172281	0.88046714365332	0.007322851604566014	0.005474748129191098	0.88046714365332	0.009261403102570039	0.0023738662131519276	0.0	0.46433153707980496	0.43272002118809105
LOC6528770	2L	18242114	18249632	Or45b		0.0	0.0	0.032343360056349	0.9288196679109281	0.9031495939793156		0.0	0.0		0.0	0.0	-0.010832249360587	0.6279189119835771	0.5938274105348436
LOC6539128	2L	21152595	21157596	Or42a		0.0	0.0	0.037537962285324	0.9156905650662891	0.8853128471515967		0.0	0.0		0.0	0.0	0.043623998269917	0.09674108288426995	0.09313412373221992
LOC6531832	2R	22012025	22017025	Or59c		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6532529	3L	2367919	2372919	Or67b		0.0	0.0	0.018520675801811	0.9749002445617196	0.9670176646378671		0.0	0.0		0.0	0.0	-0.018520675801811	0.7228637413394919	0.6778786981787589
LOC6533579	3L	10286977	10291977	Or67c		0.0	0.0	0.029316415127488	0.945552838203115	0.9262747797787617		0.0	0.0		0.0	0.0	-0.014112779896575	0.6719271234282782	0.6347547011077009
LOC6533581	3L	10318267	10323268	Or67d		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC26535678	3L	15262780	15267780	Or71a	0.435892086326249	0.22523461939520334	0.23549945457378837	0.27576408151664	0.10554768953533274	0.09943204042995947	0.438898729149575	0.23411587335774284	0.24681719524441997	0.43178540613432	0.2500578837693911	0.2638180272108844	0.0190420857187	0.21875801898896588	0.21558882639786872
LOC6534350	3L	16854063	16859063	Or74a		0.0	0.0	0.213779407305249	0.19513450894581028	0.17362664872561137		0.0	0.0		0.0	0.0	-0.013423223951611	0.6624326404926867	0.6249707884774175
LOC6535402	3R	3687562	3692563	Or83a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6539949	3R	6993394	6998395	Or92a		0.0	0.0	0.127608267285499	0.48397477152786716	0.4116376949916292		0.0	0.0		0.0	0.0	0.115150227698315	0.020656915576084168	0.01910044089924751
LOC6536204	3R	9981013	9986014	Or85a		0.0	0.0	0.054888736852999	0.8428369159479985	0.7891665232425328		0.0	0.0		0.0	0.0	-0.005367026613577	0.5437516037977932	0.5060214685216633
LOC6536226	3R	10209793	10214793	Or85d		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6536233	3R	10279218	10284219	Or85e		0.0	0.0	0.105219497032233	0.5915819281760845	0.5124309608373884		0.0	0.0		0.0	0.0	0.036356257935525	0.11919425198870927	0.1226728153675978
LOC6536348	3R	11029227	11034228	Or85f	0.436032491305295	0.22502606882168927	0.2354371201496026	0.070655741625532	0.7652207491311623	0.6894215574296308	0.4386832699999	0.2349773853112212	0.24727072467524053	0.438552257335665	0.2451956471405418	0.25924744897959184	0.025343309916477	0.17025917372337696	0.17185722965709568
LOC6540544	X	1296344	1301345	Gr2a		0.0	0.0	0.086801231136191	0.6849015317286652	0.6075759235210364		0.0	0.0		0.0	0.0	-0.02075809201826	0.7530151398511675	0.7096919937058906
LOC6524120	X	2991655	2996656	Gr5a		0.0	0.0	0.214335394037005	0.1942334920839233	0.17281304272996104		0.0	0.0		0.0	0.0	0.011303871220097	0.298306389530408	0.2927072460155483
LOC6525896	X	18271160	18276161	Gr8a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6526343	2L	818072	823072	Gr21a	0.575508360243171	0.13201251303441083	0.14358734611189028	0.321708042172027	0.06950701505985327	0.06856195140268803	0.577083504002859	0.14516476416110274	0.1514788298940685	0.575709679840003	0.15744385274369066	0.1704577664399093	0.006160029041825	0.3639979471388247	0.34379235670774455
LOC6526455	2L	1815015	1820015	Gr22e	-0.074317348676709	0.9092805005213764	0.8929717936730559	0.222380632846381	0.17788647187540224	0.15977970053040852	-0.109261913658917	0.913633426663795	0.8983122226181606	-0.042539602081645	0.8550590414447788	0.8359552154195011	0.004176701520123	0.39427764947395433	0.3725832333650116
LOC6526458	2L	1822810	1827811	Gr22b		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6526459	2L	1824472	1829473	Gr22a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6527362	2L	8636598	8641599	Gr33a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6528411	2L	16097345	16102345	Gr43a		0.0	0.0	0.02088723015636	0.9684644098339554	0.9563156165412358		0.0	0.0		0.0	0.0	0.078174174265109	0.04208365409289197	0.042002274603891755
LOC26534871	2L	19045872	19050873	Gr47a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6529216	2R	3976186	3981186	Gr39b		0.0	0.0	0.020278396643682	0.9693654266958425	0.9570979299985919		0.0	0.0		0.0	0.0	0.028158131243631	0.15396458814472672	0.15654260208453424
LOC6529222	2R	4042215	4049596	Gr39a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6529479	2R	6499575	6504576	Gr36c		0.0	0.0	0.0	0.999098983138113	0.9982163253172281		0.0	0.0		0.0	0.0	0.0	0.46433153707980496	0.43272002118809105
LOC6530291	2R	12301587	12306587	Gr47b	0.54965395300599	0.14661105318039624	0.1572074177964781	0.117625278749396	0.5295404814004376	0.4507846603977282	0.577083504002954	0.14494938617273315	0.15134925005669117	0.488857444538084	0.2167168326001389	0.23051303854875282	-0.002460834675615	0.5034642032332564	0.468615140137411
LOC6531845	2R	22072530	22077530	Gr59e	0.030779255199504	0.6909280500521376	0.6488701885616331	0.237040238301706	0.15085596601879264	0.1394395506391501	0.025646795216641	0.7107473616196425	0.6656516246072112	0.020002721761067	0.7126649687427645	0.6753472222222222	0.059958955496017	0.06171413908134463	0.06152336142832661
LOC6531846	2R	22074019	22079020	Gr59f		0.0	0.0	0.101071779457686	0.6121765993049298	0.531253422621376		0.0	0.0		0.0	0.0	-0.004687836454945	0.5347703361560174	0.4977020268901802
LOC6532739	3L	3656178	3661179	Gr66a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6532859	3L	4510477	4515478	Gr63a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6532886	3L	4651924	4656925	Gr64b	0.0	0.8196037539103233	0.7950444132772323	0.103335043539896	0.6012356802677308	0.520222802872655	0.0	0.81154426017661	0.7893679743431922	0.0	0.7839777726325539	0.755562641723356	-0.011288660959163	0.634462406979728	0.599513920264228
LOC6532890	3L	4659243	4664243	Gr64f	0.018895560514287	0.738060479666319	0.6929094592488702	0.005234371000636	0.990474964602909	0.9855897861155007	0.078991395980837	0.5698901572259315	0.5348407787748226	-0.110417112334961	0.893956934475573	0.8758857709750567	-0.058938079815274	0.9387990762124712	0.9384454796142521
LOC26535958	3L	19860858	19865859	Gr77a		0.0	0.0	0.042401038950106	0.892521560046338	0.8594026254439628		0.0	0.0		0.0	0.0	0.139125542314096	0.013471901462663588	0.01389689500989297
LOC6535775	3R	6606013	6611013	Gr92a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6536458	3R	11628276	11633276	Gr85a	0.120597632464824	0.5167883211678832	0.4826554464703132	0.184418106848431	0.2636117904492213	0.22815389670333108	0.163262693398198	0.47576997630842127	0.44536590106579416	0.062751532480978	0.585783746237555	0.5527919501133787	-0.09083666853007	0.9698486014883243	0.9653979777836633
LOC6537835	3R	21551165	21556165	Gr94a	0.023081117726204	0.7232533889468196	0.6762350007791803		0.0	0.0		0.0	0.0	0.044678377345947	0.6219032183375781	0.5872307256235828	0.044678377345947	0.0939183987682833	0.09092183775530871
LOC6538258	3R	24968207	24973207	Gr98b	0.007246504577163	0.789155370177268	0.7544647031323048		0.0	0.0	0.011628437248813	0.7676071505492139	0.7367585603680067		0.0	0.0	0.011628437248813	0.294072363356428	0.288017822923645
LOC6538333	3R	25542018	25547018	Gr97a	-0.007042370766577	0.832325338894682	0.8071372915692692	0.04331028670725	0.8898185094606771	0.8554128268114468		0.0	0.0	-0.018520675801811	0.8133827274832137	0.7833049886621315	0.004785277470487	0.38555298947908645	0.3631264897876517
LOC6525392	X	13985698	13990699	Ir7g		0.0	0.0	0.181276270501973	0.27326554254086755	0.23521036408868307		0.0	0.0		0.0	0.0	-0.02692695185261	0.8072876571721838	0.7728979388349666
LOC6525898	X	18277533	18282533	Ir8a	0.185812082890892	0.4548488008342023	0.4230949041608228	0.117871680800692	0.5282533144548848	0.4500336394786663	0.160759590729593	0.47813913418048676	0.44718001878907643	0.222122295040718	0.41768927992590876	0.39813633786848074	-0.009181219601946	0.6062355658198614	0.5731690217645318
LOC6526188	X	21108272	21117590	Ir20a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6526866	2L	4931198	4936198	Ir25a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC26534710	2L	13213270	13218270	Ir31a		0.0	0.0	0.239528728480568	0.14544986484747072	0.136091249041666		0.0	0.0		0.0	0.0	0.080845882195579	0.03990248909417501	0.04003926028635082
LOC6528904	2L	19050985	19065693	Ir47a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6530922	2R	16440511	16445511	Ir56d		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6530923	2R	16442682	16447683	Ir56c		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6530924	2R	16444624	16449625	Ir56b	-0.183572112473773	0.934932221063608	0.919089917406888	0.026709534572163	0.9532758398764319	0.9362727457637726	-0.183572112473773	0.9267714839543398	0.9119505005021219	-0.183572112473773	0.9124797406807131	0.8932114512471655	0.008188858770352	0.33833718244803695	0.322168040257373
LOC6531204	2R	18215123	18220124	Ir54a	0.022413532137026	0.7251303441084463	0.6781985351410317	0.136287201618572	0.4416269790191788	0.3766056983712234	0.023649122973859	0.7174240792590997	0.6738151543619813	0.012055571572026	0.7443852743690669	0.7087585034013606	0.00183669788702	0.42930459327687964	0.39930203935376324
LOC6532016	2R	22792589	22797589	Ir60a		0.0	0.0	0.618495805733199	0.00978246878620157	0.010201367483923458		0.0	0.0		0.0	0.0	0.074044930349733	0.0451629458557865	0.04514932930344151
LOC6532064	2R	23076145	23081145	Ir60e		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC26535834	3L	1528815	1533815	Ir62a		0.0	0.0	0.065652541895761	0.785944136954563	0.7152691940606762		0.0	0.0		0.0	0.0	-0.005273514995138	0.5422119579163459	0.5047439512673906
LOC6533589	3L	10476801	10481801	Ir67b		0.0	0.0	0.054788940543828	0.846698416784657	0.7960978204747078		0.0	0.0		0.0	0.0	-0.033042323409551	0.8483448806774442	0.8156791873743905
LOC6533590	3L	10478902	10483902	Ir67c	0.407876156588383	0.25651720542231493	0.2636122798815646	0.018615933900083	0.9718110438923928	0.9606652793641356	0.44874777094108	0.22550075382295928	0.23855648061161683		0.0	0.0	-0.153862723562156	0.9875545291249679	0.9830495271628211
LOC6533842	3L	12255554	12260554	Ir68b		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6534281	3L	16349226	16354227	Ir75c	-0.341030445132911	0.9639207507820646	0.942652329749104	0.176699828021777	0.2857510619127301	0.24703894356390718	-0.302172653702212	0.953909110488908	0.9330072240759338	-0.682804795407123	0.9969900439916647	0.996421485260771	-0.072717766985503	0.9547087503207595	0.9527630205493324
LOC6534282	3L	16353080	16358080	Ir75a		0.0	0.0	0.305009143564009	0.07967563392972069	0.07787148154522554		0.0	0.0		0.0	0.0	0.007661452502368	0.34565050038491146	0.32701325813638277
LOC6534847	3L	20457309	20462310	Ir76b	0.007462826150052	0.7845672575599583	0.7457690509583917	0.074759988119164	0.7456558115587592	0.6686589582714002	0.012195734027389	0.7613611888864958	0.7192652823220707		0.0	0.0	0.027084147587671	0.16140620990505516	0.1626653372178167
LOC6534897	3L	20746045	20751045	Ir76a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC26535590	3R	6823318	6829084	Ir92a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6535859	3R	7353569	7358570	Ir93a		0.0	0.0	0.558719599300047	0.01415883640108122	0.014989125842942751		0.0	0.0		0.0	0.0	0.05877668689767	0.0632537849627919	0.06290993503357378
LOC6539878	3R	8929090	8934091	Ir84a		0.0	0.0	0.104669864902042	0.5944136954563006	0.5149500101700749		0.0	0.0		0.0	0.0	-0.011558619757661	0.6374133949191686	0.6030660414102544
LOC6536278	3R	10439099	10444100	Ir85a		0.0	0.0	0.068161043838526	0.7743596344445874	0.7019542190164755		0.0	0.0		0.0	0.0	-0.01530882754049	0.6839876828329484	0.6461277205664698
LOC6536964	3R	15331456	15336457	Ir87a		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
LOC6539054	3R	30411934	30416935	Ir100a	0.021742632124975	0.7307612095933264	0.6811282530777621	0.096426939363242	0.6323851203501094	0.5508112590552783	0.036602323128743	0.6709024337712686	0.624898765752049		0.0	0.0	0.028843943451055	0.15152681549910188	0.15303721937463974
