gene_id	chr	start	end	gene	yak-symp:yak-allo:tei_pbs	yak-symp:yak-allo:tei_pval_ortho	yak-symp:yak-allo:tei_pval_bs	paml_ps_scenario
LOC120320824	2L	18226300	18231301	CG1888	0.215078907695175	0.0050038491147036	0.0041597208157415	PS_independent
LOC120321771	3R	3762060	3767061	CG45100	0.110583878548373	0.022966384398255	0.0210946141742097	PS_ancestral
LOC26534532	3R	9064459	9069459	Syt4	0.094164026813451	0.0307929176289453	0.0303644040070419	PS_spill_Dsan
LOC26535115	2R	9412322	9417323	CG43233	0.085862187551323	0.0363099820374647	0.0368610466293797	No_PS
LOC26535430	3R	22527786	22532787	CG42557	0.209478645145351	0.0056453682319733	0.0045024693473756	PS_unique_Dyak
LOC26535520	3R	5118128	5123129	CG31230	0.488857444538084	0.0016679497049012	0.0005764407122937	No_PS
LOC26535958	3L	19860858	19865859	Gr77a	0.139125542314096	0.0134719014626635	0.0138968950098929	PS_ancestral
LOC6523800	X	329815	335089	ebo	0.074379647417211	0.0447780343854246	0.0448065807718073	No_PS
LOC6524009	X	2245631	2250631	Spx	0.095529912891661	0.0296381832178598	0.0290557277953479	PS_spill
LOC6524089	X	2807020	2812021	CG14434	0.092027451340183	0.0315627405696689	0.0312680137722591	PS_independent
LOC6524208	X	3938630	3943631	CG7024	0.116856089927686	0.0197587888119065	0.0185084207082431	No_PS
LOC6524213	X	3967496	3980526	fzr	0.189174230490814	0.0071850141134205	0.0057332481655163	No_PS
LOC6524286	X	4693248	4734786	CG42541	0.226032230283481	0.0046189376443418	0.0037390748905541	PS_ancestral
LOC6524361	X	5830716	5835717	crm	0.075875885372806	0.0436232999743392	0.0433576892517176	No_PS
LOC6524384	X	5940033	5949149	Pi4KIIIalpha	0.183639814271034	0.0076982294072363	0.0062941093990995	PS_ancestral
LOC6524647	X	8115890	8120891	CG9941	0.081729926001167	0.0388760585065434	0.0392135479146867	PS_spill
LOC6524899	X	10251142	10257020	Gbeta13F	0.104010644622439	0.0260456761611496	0.0238833408634147	No_PS
