omega_san,omega_yak,yak_FB,mel_FB,CG,symbol,seqnames,start,end,length,type
0,NA,FBgn0229368,FBgn0034861,CG9815,CG9815,2R,23421521,23433354,11834,genome
0.2,0.117647059,FBgn0067106,FBgn0035132,CG17061,mthl10,3L,332801,342915,10115,genome
0.5,0,FBgn0067987,FBgn0025683,CG3164,CG3164,2L,122624,130791,8168,genome
NA,0,FBgn0068096,FBgn0000273,CG4379,Pka-C1,2L,9682315,9699297,16983,genome
NA,0,FBgn0228722,FBgn0082582,CG1539,tmod,3R,30532607,30578905,46299,genome
0,0,FBgn0228976,FBgn0031995,CG8475,CG8475,2L,8190808,8196918,6111,genome
NA,NA,FBgn0229259,FBgn0035012,CG13590,CG13590,2R,24493256,24493948,693,genome
NA,NA,FBgn0229259,FBgn0035011,CG13589,CG13589,2R,24492214,24492855,642,genome
0.125,0.076923077,FBgn0228723,FBgn0039787,CG9702,CG9702,3R,30579429,30582117,2689,genome
0.5,1,FBgn0013162,FBgn0000055,CG3481,Adh,2L,14615552,14618902,3351,genome
1.333333333,0.5,FBgn0228489,FBgn0083966,CG34130,CG34130,3R,26189004,26189977,974,genome
1.333333333,0.5,FBgn0228489,FBgn0083965,CG34129,CG34129,3R,26190234,26191205,972,genome
0.5,0.333333333,FBgn0229369,FBgn0032525,CG16954,Hsp60D,2L,13447538,13449497,1960,genome
NA,0,FBgn0067988,FBgn0086687,CG5887,Desat1,3R,12439600,12447616,8017,genome
NA,2,FBgn0228138,FBgn0266581,CG6375,pit,3R,22034298,22038925,4628,genome
0,0,FBgn0228611,FBgn0051357,CG31357,CG31357,3R,24828279,24829959,1681,genome
4,0.666666667,FBgn0068202,FBgn0032913,CG9259,CG9259,2L,21089375,21090999,1625,genome
0,0.272727273,FBgn0068524,FBgn0259228,CG42328,C3G,X,6780790,6803593,22804,genome
0,0,FBgn0229707,FBgn0265297,CG5119,pAbp,2R,18140078,18147191,7114,genome
2,0,FBgn0068304,FBgn0033820,CG4716,CG4716,2R,13256587,13257446,860,genome
1,0,FBgn0234517,FBgn0030433,CG4647,mRpL49,X,12907105,12907942,838,genome
1,0,FBgn0228371,FBgn0051051,CG31051,CG31051,3R,28519548,28520515,968,genome
0,NA,FBgn0228022,FBgn0015324,CG1088,Vha26,3R,5591763,5595356,3594,genome
0.5,0.142857143,FBgn0084995,FBgn0259236,CG42334,comm3,3L,15613184,15647762,34579,genome
0,0.315789474,FBgn0231601,FBgn0034277,CG6370,OstDelta,2R,17764574,17767070,2497,genome
0,NA,FBgn0233282,FBgn0029947,CG1999,CG1999,X,7358796,7360058,1263,genome
0.25,0.181818182,FBgn0232891,FBgn0031170,CG1718,CG1718,X,21292308,21306665,14358,genome
NA,0,FBgn0068097,FBgn0004462,CG7001,Pk17E,X,18788464,18806057,17594,genome
0.222222222,0.142857143,FBgn0231712,FBgn0034093,CG15706,CG15706,2R,16223218,16230680,7463,genome
NA,0,FBgn0231031,FBgn0053156,CG33156,CG33156,2R,13548244,13553240,4997,genome
NA,0.25,FBgn0234650,FBgn0030620,CG5662,CG5662,X,15210386,15211467,1082,genome
0.25,0.5,FBgn0067423,FBgn0003882,CG10520,tub,3R,4387742,4389813,2072,genome
0,0,FBgn0230073,FBgn0261270,CG8553,SelD,2R,14268772,14270658,1887,genome
0.5,2,FBgn0230911,FBgn0032734,CG15169,CG15169,2L,18991020,18992409,1390,genome
0,0.315789474,FBgn0229477,FBgn0034720,CG11206,Liprin-gamma,2R,22333500,22373109,39610,genome
1.25,0.75,FBgn0229826,FBgn0002716,CG7753,mei-W68,2R,19456170,19459523,3354,genome
0,0,FBgn0235679,FBgn0031566,CG2818,CG2818,2L,3713360,3716810,3451,genome
0,0.055555556,FBgn0231946,FBgn0024234,CG5562,gbb,2R,23851562,23853247,1686,genome
0.142857143,0.2,FBgn0233776,FBgn0000382,CG3954,csw,X,2094234,2115701,21468,genome
0.5,0,FBgn0230296,FBgn0033874,CG6347,CG6347,2R,13836419,13839363,2945,genome
0.625,0.461538462,FBgn0231487,FBgn0034458,CG15904,Ir56d,2R,19511673,19513571,1899,genome
4,1,FBgn0234154,FBgn0053082,CG33082,CG33082,X,1030758,1031612,855,genome
NA,NA,FBgn0067989,FBgn0026141,CG5450,Cdlc2,2L,1344400,1345135,736,genome
NA,NA,FBgn0067989,FBgn0011760,CG6998,ctp,X,4687800,4702034,14235,genome
0,0.111111111,FBgn0232057,FBgn0265182,CG44247,CG44247,2R,24876691,24881221,4531,genome
0,0,FBgn0234273,FBgn0003278,CG4033,RpI135,2L,404285,407969,3685,genome
