orthogroup	gene_id	gene_type	san_id	san_conting	san_start	san_end	yak_id	yak_conting	yak_start	yak_end	pw_Dmel_Dsan_w	pw_Dtei_Dmel_w	pw_Dtei_Dsan_w	pw_Dyak_Dmel_w	pw_Dyak_Dsan_w	pw_Dyak_Dtei_w
OG0005672	128up	GB	LOC120445982	NC_053017.2	19422381.0	19423927.0	LOC6530201	NC_052528.2	11616967.0	11618508.0	0.001	0.001	0.001	0.001	0.001	0.001
OG0011289	14-3-3epsilon	GB	LOC120453158	NC_053019.2	2926090.0	2932209.0	LOC6535530	NC_052530.2	4676207.0	4682444.0	0.0876	0.1432	0.1092	0.0915	0.001	0.1322
OG0005460	14-3-3zeta	GB	LOC120450790	NC_053016.2	18860540.0	18869157.0	LOC6528869	NC_052527.2	18789606.0	18797995.0	0.001	0.001	0.001	0.001	0.001	0.001
OG0010852	140up	GB	LOC120453033	NC_053019.2	16501609.0	16502719.0	LOC6537351	NC_052530.2	18270872.0	18271991.0	0.001	0.001	0.001	0.001	0.001	0.001
OG0008822	26-29-p	GB	LOC120448918	NC_053018.2	14255253.0	14257569.0	LOC6534061	NC_052529.2	14174854.0	14177241.0	0.0284	0.0341	0.024	0.0262	0.0105	0.0215
OG0010753	2mit	GB	LOC120451192	NC_053019.2	13234201.0	13256557.0	LOC26534728	NC_052530.2	15028456.0	15054637.0	0.1669	0.1488	0.2155	0.172	0.2878	0.1979
OG0007509	312	GB	LOC120447903	NC_053018.2	1356109.0	1357252.0	LOC6532357	NC_052529.2	1362266.0	1363407.0	0.1228	0.1332	0.1549	0.1166	0.0771	0.1371
OG0012781	4E-T	GB	LOC120454866	NC_053020.2	1035089.0	1042157.0	LOC6523753	NC_052531.2	1059980.0	1066701.0	0.2585	0.2938	0.4143	0.2613	0.4794	0.4103
OG0006557	5-HT1A	GB	LOC120445461	NC_053017.2	13697443.0	13759167.0	LOC6530987	NC_052528.2	16839023.0	16895439.0	0.1598	0.1179	0.0871	0.1545	0.1102	0.0977
OG0006552	5-HT1B	GB	LOC120446389	NC_053017.2	13794805.0	13805838.0	LOC6530993	NC_052528.2	16931078.0	16951479.0	0.1054	0.1361	0.1086	0.1129	0.0209	0.0967
OG0010250	5-HT2B	GB	LOC120453302	NC_053019.2	8431995.0	8467398.0	LOC6536232	NC_052530.2	10232361.0	10275456.0	0.0595	0.0548	0.0569	0.0588	0.0601	0.06
OG0012645	5-HT7	GB	LOC120452771	NC_053019.2	27777115.0	27827697.0	LOC6538955	NC_052530.2	29571635.0	29631760.0	0.0209	0.0233	0.0349	0.0219	0.0225	0.0401
OG0012046	5PtaseI	GB	LOC120450983	NC_053019.2	25680340.0	25685016.0	LOC26534501	NC_052530.2	27476706.0	27481368.0	0.0778	0.0729	0.0712	0.072	0.1916	0.0735
OG0009915	7B2	Or	LOC120454545	NC_053019.2	1923229.0	1924426.0	LOC6535397	NC_052530.2	3666934.0	3668109.0	0.0593	0.0701	0.0263	0.0632	0.161	0.0692
OG0007231	AANAT1	GB	LOC120446888	NC_053017.2	21509718.0	21521333.0	LOC6531996	NC_052528.2	22695528.0	22706528.0	0.1117	0.1162	0.0607	0.1143	0.1419	0.0881
OG0003506	AANATL2	GB	LOC120456673	NC_053016.2	6746418.0	6747380.0	LOC6527116	NC_052527.2	6734228.0	6735203.0	0.0325	0.0431	0.0679	0.0365	0.0684	0.0705
OG0004750	AANATL3	GB	LOC120446683	NC_053017.2	7992945.0	7993785.0	LOC6529786	NC_052528.2	9076788.0	9077555.0	0.1846	0.193	0.1434	0.1909	0.3043	0.1218
OG0006571	AANATL4	GB	LOC120446054	NC_053017.2	13525118.0	13525792.0	LOC6530969	NC_052528.2	16667533.0	16668295.0	0.0939	0.0866	0.0933	0.0878	0.0959	0.094
OG0001189	AANATL7	GB	LOC120455869	NC_053021.2	6024873.0	6028187.0	LOC6524395	NC_052526.2	5988393.0	5991695.0	0.0459	0.0499	0.1008	0.0505	0.0709	0.0977
OG0007539	ABCB7	GB	LOC120450413	NC_053018.2	1615113.0	1619789.0	LOC6532402	NC_052529.2	1621416.0	1626075.0	0.1471	0.1115	0.0661	0.135	0.1112	0.0682
OG0012739	ABCD	GB	LOC120454889	NC_053020.2	181917.0	193301.0	LOC6523705	NC_052531.2	200653.0	206439.0	0.2669	0.255	0.659	0.2541	0.6824	0.4362
OG0005185	ACC	GB	LOC120447560	NC_053016.2	16724241.0	16739565.0	LOC6528514	NC_052527.2	16663653.0	16679207.0	0.3903	0.3515	0.363	0.3589	0.7186	0.2206
OG0007618	ACXD	GB	LOC120450112	NC_053018.2	2245185.0	2250594.0	LOC6532504	NC_052529.2	2251147.0	2257350.0	0.0804	0.0753	0.1127	0.0742	0.1022	0.1237
OG0005660	ADD1	GB	LOC120446904	NC_053017.2	19355532.0	19362638.0	LOC6530213	NC_052528.2	11679045.0	11686129.0	0.1407	0.134	0.1087	0.1477	0.1649	0.1144
OG0006040	ADPS	GB	LOC120446449	NC_053017.2	17708339.0	17713197.0	LOC6530466	NC_052528.2	13347429.0	13351483.0	0.0582	0.0924	0.0388	0.0567	0.034	0.0435
OG0005831	AGBE	GB	LOC120446994	NC_053017.2	9389573.0	9393108.0	LOC6530006	NC_052528.2	10487160.0	10490610.0	0.0432	0.0364	0.0898	0.0361	0.1823	0.0748
OG0005916	AGO1	GB	LOC120446273	NC_053017.2	8600234.0	8614423.0	LOC6529890	NC_052528.2	9693440.0	9707184.0	0.3766	0.0507	0.365	0.3619	0.1214	0.3667
OG0008959	AGO2	GB	LOC120450584	NC_053018.2	18218646.0	18224817.0	LOC6534494	NC_052529.2	18178835.0	18185017.0	0.0488	0.0398	0.037	0.0408	0.0827	0.0279
OG0009781	AGO3	GB	LOC120450270	NC_053018.2	25167802.0	25298464.0	LOC26535169	NW_025048817.1	1388424.0	1545473.0	0.08	0.0808	0.1874	0.0726	0.0732	0.1499
OG0003042	AIF	GB	LOC120458638	NC_053016.2	2153054.0	2156543.0	LOC6526508	NC_052527.2	2184434.0	2188079.0	0.0039	0.0038	0.001	0.0042	0.001	0.001
OG0005301	AIMP1	GB	LOC120448440	NC_053016.2	17691505.0	17692591.0	LOC6528666	NC_052527.2	17619842.0	17620927.0	0.0288	0.0208	0.0456	0.0222	0.0267	0.0272
OG0008966	AIMP2	GB	LOC120448748	NC_053018.2	18247914.0	18249726.0	LOC6534505	NC_052529.2	18208227.0	18210046.0	0.0041	0.0089	0.0084	0.0046	0.001	0.012
OG0007098	AIMP3	GB	LOC120445680	NC_053017.2	20911877.0	20912807.0	LOC6531847	NC_052528.2	22077342.0	22078270.0	0.0601	0.062	0.0435	0.0632	0.0336	0.0494
OG0012338	ALiX	GB	LOC120453361	NC_053019.2	23018282.0	23021997.0	LOC6538233	NC_052530.2	24809564.0	24813236.0	0.2017	0.2227	0.0578	0.1901	0.0252	0.0532
OG0001065	AMPKalpha	GB	LOC120456755	NC_053021.2	1203072.0	1206476.0	LOC6523912	NC_052526.2	1217583.0	1221007.0	0.0584	0.0517	0.0264	0.0565	0.0782	0.0425
OG0002136	AMPdeam	GB	LOC120456861	NC_053021.2	12186049.0	12202337.0	LOC6524666	NC_052526.2	8225820.0	8241254.0	0.0558	0.0589	0.033	0.0489	0.0809	0.0266
OG0002679	AP-1-2beta	GB	LOC120455806	NC_053021.2	11672633.0	11676221.0	LOC6525139	NC_052526.2	12145747.0	12149357.0	0.0564	0.0434	0.0294	0.0524	0.0245	0.0268
